year,nativity,drivers,deaths,rate_per_100k_drivers
2016,Foreign Born,5150410.128851891,1114,21.62934547211153
2017,Foreign Born,5144447.376038986,1123,21.829361210507006
2018,Foreign Born,5192890.065499251,1103,21.240580603239792
2019,Foreign Born,5171319.657118986,1091,21.097129404833797
2020,Foreign Born,4370812.619626123,991,22.67312937530526
2021,Foreign Born,4360193.901206446,1230,28.209754608841237
2022,Foreign Born,4669678.439573097,1336,28.610107040306985
2023,Foreign Born,4931770.326793225,1310,26.562469725791118
2024,Foreign Born,5053796.190911282,1232,24.377714364809997
2016,US Born,9951621,3047,30.618127438735858
2017,US Born,10296150,3086,29.97236831242746
2018,US Born,10405964,3044,29.25245561103229
2019,US Born,10503385,2914,27.743436996739625
2020,US Born,8579015,3432,40.00459260183133
2021,US Born,8529548,3786,44.38687724132627
2022,US Born,9398260,3718,39.56051439308978
2023,US Born,9505153,3444,36.23297804885413
2024,US Born,9644439,3193,33.10716154666954
