year,immig_status,pct
2004,Illegal immigrants,78.10211821431027
2004,Legal immigrants,88.01053317018369
2004,Native-born citizens,88.15018742032629
2005,Illegal immigrants,78.67275659376472
2005,Legal immigrants,87.28406556476999
2005,Native-born citizens,88.0112422480662
2006,Illegal immigrants,78.61380903203566
2006,Legal immigrants,87.13899525410825
2006,Native-born citizens,87.21049963145998
2007,Illegal immigrants,77.74054488444419
2007,Legal immigrants,86.74497472077014
2007,Native-born citizens,86.95167144987163
2008,Illegal immigrants,76.7570927956312
2008,Legal immigrants,86.52995901443566
2008,Native-born citizens,86.6295572828863
2009,Illegal immigrants,76.6409711052093
2009,Legal immigrants,86.04345951870268
2009,Native-born citizens,86.43105615999072
2010,Illegal immigrants,76.94511471646479
2010,Legal immigrants,86.25942715981083
2010,Native-born citizens,86.52525776150857
2011,Illegal immigrants,76.58810469751106
2011,Legal immigrants,85.80117992286331
2011,Native-born citizens,86.03548428437296
2012,Illegal immigrants,78.1229852098877
2012,Legal immigrants,86.33677456934254
2012,Native-born citizens,86.00480397426881
2013,Illegal immigrants,79.02406988141624
2013,Legal immigrants,85.30865131482996
2013,Native-born citizens,85.64810631339405
2014,Illegal immigrants,79.45085075325322
2014,Legal immigrants,85.45551945153147
2014,Native-born citizens,85.43361453086644
2015,Illegal immigrants,80.73120306302933
2015,Legal immigrants,84.95161412660796
2015,Native-born citizens,85.04613321894983
2016,Illegal immigrants,81.61115316334394
2016,Legal immigrants,85.05699496273613
2016,Native-born citizens,84.82531388777606
2017,Illegal immigrants,80.60947072257252
2017,Legal immigrants,85.3130838042224
2017,Native-born citizens,85.06325537358798
2018,Illegal immigrants,80.87334272340117
2018,Legal immigrants,85.16366730700372
2018,Native-born citizens,84.6854542178564
2019,Illegal immigrants,80.54365866562503
2019,Legal immigrants,84.55920454755257
2019,Native-born citizens,84.28892184994842
2020,Illegal immigrants,79.93802598148282
2020,Legal immigrants,75.96831251681839
2020,Native-born citizens,72.8275583277348
2021,Illegal immigrants,78.29816234916343
2021,Legal immigrants,73.57297362994987
2021,Native-born citizens,71.87961675094499
2022,Illegal immigrants,79.8218566029374
2022,Legal immigrants,76.64839096196275
2022,Native-born citizens,75.4747073568859
2023,Illegal immigrants,80.40930171520174
2023,Legal immigrants,79.41787743958582
2023,Native-born citizens,76.9536542439318
2024,Illegal immigrants,80.66497830011896
2024,Legal immigrants,79.4659687179269
2024,Native-born citizens,77.39272379413798
2004,All immigrants,84.67837275509973
2005,All immigrants,84.34140255792626
2006,All immigrants,84.15045654509044
2007,All immigrants,83.5410252730056
2008,All immigrants,83.49227900229343
2009,All immigrants,83.24762216005297
2010,All immigrants,83.47134372453976
2011,All immigrants,83.11212044421906
2012,All immigrants,84.06098933637945
2013,All immigrants,83.5777649157985
2014,All immigrants,83.91772056285441
2015,All immigrants,83.96405780611488
2016,All immigrants,84.28799227101526
2017,All immigrants,84.318080182461145
2018,All immigrants,84.25002729113943
2019,All immigrants,83.71236206202639
2020,All immigrants,76.75173141217483
2021,All immigrants,74.53019732097125
2022,All immigrants,77.36037896068177
2023,All immigrants,79.63540163993585
2024,All immigrants,79.80585581987344
