year,immig_status,drivers
2004,Illegal immigrants,1382607.206719214
2004,Legal immigrants,3074846
2004,Native-born citizens,9055109
2005,Illegal immigrants,1469858.3869294073
2005,Legal immigrants,3141412
2005,Native-born citizens,8997898
2006,Illegal immigrants,1583029.3003743552
2006,Legal immigrants,3250803
2006,Native-born citizens,9233607
2007,Illegal immigrants,1601492.8638461218
2007,Legal immigrants,3235192
2007,Native-born citizens,9198946
2008,Illegal immigrants,1398666.3308888322
2008,Legal immigrants,3495986
2008,Native-born citizens,9442335
2009,Illegal immigrants,1300884.9518850113
2009,Legal immigrants,3451161
2009,Native-born citizens,8978720
2010,Illegal immigrants,1302456.7577201708
2010,Legal immigrants,3417790
2010,Native-born citizens,8829630
2011,Illegal immigrants,1262855.075733508
2011,Legal immigrants,3432417
2011,Native-born citizens,8881776
2012,Illegal immigrants,1250119.3303736353
2012,Legal immigrants,3604771
2012,Native-born citizens,9132599
2013,Illegal immigrants,1266616.270333171
2013,Legal immigrants,3597279
2013,Native-born citizens,9298134
2014,Illegal immigrants,1213167.9647883126
2014,Legal immigrants,3790236
2014,Native-born citizens,9561033
2015,Illegal immigrants,1147725.3629982944
2015,Legal immigrants,3953598
2015,Native-born citizens,9788656
2016,Illegal immigrants,1112905.1288518908
2016,Legal immigrants,4037505
2016,Native-born citizens,9951621
2017,Illegal immigrants,1040392.3760389864
2017,Legal immigrants,4104055
2017,Native-born citizens,10296150
2018,Illegal immigrants,1061523.0654992508
2018,Legal immigrants,4131367
2018,Native-born citizens,10405964
2019,Illegal immigrants,1049303.6571189864
2019,Legal immigrants,4122016
2019,Native-born citizens,10503385
2020,Illegal immigrants,898384.6196261231
2020,Legal immigrants,3472428
2020,Native-born citizens,8579015
2021,Illegal immigrants,927938.9012064461
2021,Legal immigrants,3432255
2021,Native-born citizens,8529548
2022,Illegal immigrants,1081008.4395730973
2022,Legal immigrants,3588670
2022,Native-born citizens,9398260
2023,Illegal immigrants,1092574.3267932248
2023,Legal immigrants,3839196
2023,Native-born citizens,9505153
2024,Illegal immigrants,1448038.190911282
2024,Legal immigrants,3605758
2024,Native-born citizens,9644439
2004,All immigrants,4457453.206719214
2005,All immigrants,4611270.386929408
2006,All immigrants,4833832.300374355
2007,All immigrants,4836684.863846121
2008,All immigrants,4894652.330888832
2009,All immigrants,4752045.951885011
2010,All immigrants,4720246.757720171
2011,All immigrants,4695272.075733508
2012,All immigrants,4854890.3303736355
2013,All immigrants,4863895.270333171
2014,All immigrants,5003403.964788313
2015,All immigrants,5101323.362998295
2016,All immigrants,5150410.128851891
2017,All immigrants,5144447.376038986
2018,All immigrants,5192890.065499251
2019,All immigrants,5171319.657118986
2020,All immigrants,4370812.619626123
2021,All immigrants,4360193.901206446
2022,All immigrants,4669678.439573097
2023,All immigrants,4931770.326793225
2024,All immigrants,5053796.190911282
