year,immig_status,pop,total,pct
2004,Illegal immigrants,63893.27572009908,2163700.1884341263,2.9529634494480845
2004,Legal immigrants,141225,4630577,3.0498359059788878
2004,Native-born citizens,335016,13520421,2.4778518361225585
2005,Illegal immigrants,69189.71263023018,2304431.91825882,3.002462866531915
2005,Legal immigrants,152913,4722800,3.2377614974167863
2005,Native-born citizens,320705,13524775,2.371240926374006
2006,Illegal immigrants,68680.07302082208,2419676.4103996768,2.83839908202757
2006,Legal immigrants,147406,4695091,3.139577060380725
2006,Native-born citizens,315766,13649173,2.3134441918202664
2007,Illegal immigrants,74840.8456676907,2481286.244163613,3.016211686327141
2007,Legal immigrants,154941,4717659,3.2842772230888246
2007,Native-born citizens,321204,13705361,2.3436376466114246
2008,Illegal immigrants,58544.120286777164,2107252.4256928335,2.7782205668848015
2008,Legal immigrants,153063,4943571,3.0962031292763874
2008,Native-born citizens,317237,13894358,2.2832073277513074
2009,Illegal immigrants,50654.09846106603,2050168.7399064596,2.4707282612931243
2009,Legal immigrants,166627,5079770,3.2802075684529024
2009,Native-born citizens,308853,13759828,2.2445992784212128
2010,Illegal immigrants,47929.901882439844,2059046.9283412367,2.327771223798773
2010,Legal immigrants,166353,5099436,3.2621842886154466
2010,Native-born citizens,317238,13692151,2.3169332561406897
2011,Illegal immigrants,52559.94329405177,2000533.1825136356,2.6272967503598768
2011,Legal immigrants,171790,5184813,3.313330683285974
2011,Native-born citizens,307934,13796108,2.232035295751526
2012,Illegal immigrants,52075.248062478226,1913519.6084237027,2.7214379112308227
2012,Legal immigrants,177483,5283270,3.35933995423289
2012,Native-born citizens,309323,13997199,2.2098921362766935
2013,Illegal immigrants,49813.559408134024,1885511.0222876584,2.641912925425176
2013,Legal immigrants,178312,5324362,3.348983408716387
2013,Native-born citizens,339725,14138747,2.402794250438175
2014,Illegal immigrants,53271.708634427625,1759005.5512273754,3.028512820625063
2014,Legal immigrants,182904,5516320,3.3156887200162424
2014,Native-born citizens,325679,14383009,2.264331476118801
2015,Illegal immigrants,40322.86828446137,1615532.5732717349,2.4959489490701223
2015,Legal immigrants,201856,5755522,3.507171026363899
2015,Native-born citizens,355971,14540030,2.448213655680215
2016,Illegal immigrants,45889.74604808413,1552922.47347349,2.9550571153394745
2016,Legal immigrants,215360,5830116,3.6939230711704534
2016,Native-born citizens,357804,14730495,2.4290018767190102
2017,Illegal immigrants,53425.94360795792,1465636.388518983,3.645238616239906
2017,Legal immigrants,221508,5907119,3.7498482762917082
2017,Native-born citizens,375103,15091787,2.4854776972402277
2018,Illegal immigrants,57131.05510997169,1480863.7630299896,3.8579548325955426
2018,Legal immigrants,232050,5891205,3.938922512457129
2018,Native-born citizens,406691,15179740,2.6791697354500146
2019,Illegal immigrants,53022.7965204002,1450356.8794293706,3.6558447974033488
2019,Legal immigrants,229002,5906139,3.877355409346106
2019,Native-born citizens,395103,15227303,2.594701110236002
2020,Illegal immigrants,40637.64069197649,1364547.8856528564,2.978102939387411
2020,Legal immigrants,216534,5913092,3.6619420093582176
2020,Native-born citizens,369313,15548361,2.375253571743028
2021,Illegal immigrants,56144.973632009016,1386997.9039006634,4.047949421849315
2021,Legal immigrants,225739,5975086,3.778004199437464
2021,Native-born citizens,378465,15387626,2.459541192384062
2022,Illegal immigrants,60495.4776379265,1580202.097633448,3.8283380162908345
2022,Legal immigrants,232633,5790497,4.017496252912315
2022,Native-born citizens,373214,15541158,2.401455541472521
2023,Illegal immigrants,67483.25245955477,1577239.242097439,4.278567934298567
2023,Legal immigrants,246829,5938775,4.156227504830542
2023,Native-born citizens,377123,15350428,2.4567588604044137
2024,Illegal immigrants,90326.59452627318,2096227.5520880707,4.309007122642677
2024,Legal immigrants,219382,5558792,3.9465768821715224
2024,Native-born citizens,377266,15462712,2.439843670372959
2004,All immigrants,205118.27572009907,6794277.188434126,3.018985979395589
2005,All immigrants,222102.71263023018,7027231.91825882,3.160600293454694
2006,All immigrants,216086.07302082208,7114767.410399677,3.037148799902698
2007,All immigrants,229781.84566769068,7198945.244163613,3.191882114313639
2008,All immigrants,211607.12028677715,7050823.425692834,3.001168906254152
2009,All immigrants,217281.09846106602,7129938.73990646,3.0474469190729203
2010,All immigrants,214282.90188243985,7158482.928341237,2.9934122079703482
2011,All immigrants,224349.94329405177,7185346.182513636,3.122326156532765
2012,All immigrants,229558.24806247823,7196789.608423702,3.189731262864552
2013,All immigrants,228125.55940813402,7209873.022287658,3.1640718040794407
2014,All immigrants,236175.70863442763,7275325.551227375,3.246256225531844
2015,All immigrants,242178.86828446138,7371054.573271735,3.2855389398774624
2016,All immigrants,261249.74604808414,7383038.47347349,3.538512591891916
2017,All immigrants,274933.9436079579,7372755.388518983,3.7290528319451797
2018,All immigrants,289181.05510997167,7372068.76302999,3.922658135802785
2019,All immigrants,282024.7965204002,7356495.87942937,3.8336838780677245
2020,All immigrants,257171.6406919765,7277639.885652857,3.533723085130453
2021,All immigrants,281883.973632009,7362083.903900663,3.82886119353595
2022,All immigrants,293128.4776379265,7370699.097633448,3.9769426719921714
2023,All immigrants,314312.25245955476,7516014.242097439,4.181900703421791
2024,All immigrants,309708.5945262732,7655019.552088071,4.0458236901797795
