year,immig_status,n,population
2004,Illegal immigrants,6229,2854273.9615800204
2004,Legal immigrants,19482,6172454
2004,Native-born citizens,62989,17641029
2005,Illegal immigrants,20628,2977886.6701315157
2005,Legal immigrants,57796,6294951
2005,Native-born citizens,179879,17635099
2006,Illegal immigrants,22197,3145668.2189263576
2006,Legal immigrants,59147,6274442
2006,Native-born citizens,179830,17909780
2007,Illegal immigrants,22936,3208870.9463613476
2007,Legal immigrants,60497,6368116
2007,Native-born citizens,180359,18017505
2008,Illegal immigrants,18374,2637481.0519847055
2008,Legal immigrants,64205,6771303
2008,Native-born citizens,182083,18406858
2009,Illegal immigrants,18804,2570318.5944314636
2009,Legal immigrants,67198,6932029
2009,Native-born citizens,184617,18431841
2010,Illegal immigrants,19677,2634563.267012563
2010,Legal immigrants,70264,7088270
2010,Native-born citizens,188060,18771541
2011,Illegal immigrants,19601,2571903.231180675
2011,Legal immigrants,71940,7256903
2011,Native-born citizens,187023,19032552
2012,Illegal immigrants,18914,2477802.9712069016
2012,Legal immigrants,72883,7436526
2012,Native-born citizens,187501,19299141
2013,Illegal immigrants,18362,2440112.3294543377
2013,Legal immigrants,73560,7514777
2013,Native-born citizens,191556,19574291
2014,Illegal immigrants,17053,2288862.9463733197
2014,Legal immigrants,75313,7818242
2014,Native-born citizens,193745,19895581
2015,Illegal immigrants,15189,2077933.769552736
2015,Legal immigrants,77948,8219467
2015,Native-born citizens,196427,20040606
2016,Illegal immigrants,14430,1996007.5485742765
2016,Legal immigrants,79061,8295389
2016,Native-born citizens,197555,20180919
2017,Illegal immigrants,13745,1886332.0476459714
2017,Legal immigrants,79585,8383037
2017,Native-born citizens,198954,20512779
2018,Illegal immigrants,13471,1855326.286573464
2018,Legal immigrants,79582,8372544
2018,Native-born citizens,201213,20619138
2019,Illegal immigrants,13126,1826638.787384242
2019,Legal immigrants,79987,8360239
2019,Native-born citizens,204375,20694363
2020,Illegal immigrants,10678,1677442.451738632
2020,Legal immigrants,64248,8226234
2020,Native-born citizens,159945,20865664
2021,Illegal immigrants,13892,1714447.6744261647
2021,Legal immigrants,85504,8380202
2021,Native-born citizens,204872,20666255
2022,Illegal immigrants,15769,1957072.4617852725
2022,Legal immigrants,82395,8071120
2022,Native-born citizens,207437,20733085
2023,Illegal immigrants,15674,1950942.6012453754
2023,Legal immigrants,84490,8274195
2023,Native-born citizens,209946,20554045
2024,Illegal immigrants,19986,2621714.4201666825
2024,Legal immigrants,81051,7867897
2024,Native-born citizens,211796,20823800
