year,nativity,deaths
2016,Foreign Born,1114
2016,US Born,3047
2016,Unknown,59
2017,Foreign Born,1123
2017,US Born,3086
2017,Unknown,58
2018,Foreign Born,1103
2018,US Born,3044
2018,Unknown,72
2019,Foreign Born,1091
2019,US Born,2914
2019,Unknown,67
2020,Foreign Born,991
2020,US Born,3432
2020,Unknown,79
2021,Foreign Born,1230
2021,US Born,3786
2021,Unknown,78
2022,Foreign Born,1336
2022,US Born,3718
2022,Unknown,104
2023,Foreign Born,1310
2023,US Born,3444
2023,Unknown,92
2024,Foreign Born,1232
2024,US Born,3193
2024,Unknown,108
2025,Foreign Born,1148
2025,US Born,2863
2025,Unknown,98
2026,Foreign Born,517
2026,US Born,1277
2026,Unknown,43
