year,immig_status,tranwork_grp,pop,pct
2004,Illegal immigrants,Bicycle,20483.995552676766,1.1571207168468565
2004,Illegal immigrants,Other,29734.771202159034,1.6796879144129373
2004,Illegal immigrants,Private motorized vehicle,1382607.206719214,78.10211821431027
2004,Illegal immigrants,Public transport,224344.9080773855,12.673022711212397
2004,Illegal immigrants,Taxicab or ride-hailing services,307.913712676074,0.017393742105756154
2004,Illegal immigrants,Walked only,71183.85256593201,4.021105662574147
2004,Illegal immigrants,Worked at home,41593.061401009945,2.349551038537632
2004,Legal immigrants,Bicycle,13335,0.3816843054333126
2004,Legal immigrants,Other,29548,0.8457448711618687
2004,Legal immigrants,Private motorized vehicle,3074846,88.01053317018369
2004,Legal immigrants,Public transport,172765,4.945008551045088
2004,Legal immigrants,Taxicab or ride-hailing services,2006,0.057417226599116994
2004,Legal immigrants,Walked only,69253,1.982210963942497
2004,Legal immigrants,Worked at home,131972,3.7774009116344307
2004,Native-born citizens,Bicycle,70958,0.6907659531179042
2004,Native-born citizens,Other,67282,0.6549806203342657
2004,Native-born citizens,Private motorized vehicle,9055109,88.15018742032629
2004,Native-born citizens,Public transport,342025,3.3295643213612447
2004,Native-born citizens,Taxicab or ride-hailing services,1272,0.012382737568223091
2004,Native-born citizens,Walked only,222075,2.161868274735175
2004,Native-born citizens,Worked at home,513644,5.000250672556904
2005,Illegal immigrants,Bicycle,24801.25838030721,1.327463503371285
2005,Illegal immigrants,Other,40557.162917014924,2.1707831412042125
2005,Illegal immigrants,Private motorized vehicle,1469858.3869294073,78.67275659376472
2005,Illegal immigrants,Public transport,217634.079386846,11.648654799921015
2005,Illegal immigrants,Taxicab or ride-hailing services,1532.7063930152024,0.08203663567841607
2005,Illegal immigrants,Walked only,78668.66467026295,4.210664620616502
2005,Illegal immigrants,Worked at home,35267.15781338058,1.8876407054438449
2005,Legal immigrants,Bicycle,14845,0.4124680090701284
2005,Legal immigrants,Other,38029,1.0566349556704557
2005,Legal immigrants,Private motorized vehicle,3141412,87.28406556476999
2005,Legal immigrants,Public transport,185710,5.159948397737525
2005,Legal immigrants,Taxicab or ride-hailing services,2356,0.06546140985983312
2005,Legal immigrants,Walked only,85431,2.373698516865621
2005,Legal immigrants,Worked at home,131284,3.6477231460264563
2005,Native-born citizens,Bicycle,66995,0.6552989569796406
2005,Native-born citizens,Other,76986,0.7530240391377656
2005,Native-born citizens,Private motorized vehicle,8997898,88.0112422480662
2005,Native-born citizens,Public transport,358188,3.503548366335152
2005,Native-born citizens,Taxicab or ride-hailing services,4096,0.0400642514782985
2005,Native-born citizens,Walked only,224284,2.1937916451559327
2005,Native-born citizens,Worked at home,495131,4.843030492847024
2006,Illegal immigrants,Bicycle,24197.469306297797,1.2016550992795862
2006,Illegal immigrants,Other,46642.748160191695,2.316295785382826
2006,Illegal immigrants,Private motorized vehicle,1583029.3003743552,78.61380903203566
2006,Illegal immigrants,Public transport,230614.79378255387,11.45241427565283
2006,Illegal immigrants,Taxicab or ride-hailing services,1237.6690223660385,0.06146309240526439
2006,Illegal immigrants,Walked only,83525.29779269545,4.147896573023686
2006,Illegal immigrants,Worked at home,44431.132347181745,2.2064661422201386
2006,Legal immigrants,Bicycle,15533,0.41636789841834876
2006,Legal immigrants,Other,33295,0.8924849789376762
2006,Legal immigrants,Private motorized vehicle,3250803,87.13899525410825
2006,Legal immigrants,Public transport,198958,5.333143908679447
2006,Legal immigrants,Taxicab or ride-hailing services,2589,0.06939911729898314
2006,Legal immigrants,Walked only,82265,2.2051442196218027
2006,Legal immigrants,Worked at home,147152,3.944464622935483
2006,Native-born citizens,Bicycle,83189,0.7857118300401484
2006,Native-born citizens,Other,83159,0.7854284830243025
2006,Native-born citizens,Private motorized vehicle,9233607,87.21049963145998
2006,Native-born citizens,Public transport,395575,3.736166526441377
2006,Native-born citizens,Taxicab or ride-hailing services,4364,0.041217545905050036
2006,Native-born citizens,Walked only,242049,2.286128727949463
2006,Native-born citizens,Worked at home,545781,5.154847255179678
2007,Illegal immigrants,Bicycle,33969.59862599686,1.6489708860448622
2007,Illegal immigrants,Other,53981.57852518657,2.6204033892427248
2007,Illegal immigrants,Private motorized vehicle,1601492.8638461218,77.74054488444419
2007,Illegal immigrants,Public transport,237972.6117966645,11.5517970303142
2007,Illegal immigrants,Taxicab or ride-hailing services,1187.283159443862,0.057633750253262964
2007,Illegal immigrants,Walked only,86251.88637957849,4.186886370730574
