year,immig_status,pop,total,pct
2004,Illegal immigrants,58694.564989955084,2163700.1884341263,2.71269399077108
2004,Legal immigrants,115095,4630577,2.4855433782874146
2004,Native-born citizens,259099,13520421,1.9163530484738605
2005,Illegal immigrants,59190.71129539532,2304431.91825882,2.5685597750320417
2005,Legal immigrants,119569,4722800,2.531739645972728
2005,Native-born citizens,246517,13524775,1.822706847248845
2006,Illegal immigrants,60134.43783948663,2419676.4103996768,2.4852264369331003
2006,Legal immigrants,116717,4695091,2.4859369072931705
2006,Native-born citizens,247982,13649173,1.8168280232069738
2007,Illegal immigrants,63818.20247773109,2481286.244163613,2.5719806663919504
2007,Legal immigrants,122420,4717659,2.594931087643257
2007,Native-born citizens,254236,13705361,1.8550113346157027
2008,Illegal immigrants,51938.438983945896,2107252.4256928335,2.464746906952512
2008,Legal immigrants,123147,4943571,2.4910535319508913
2008,Native-born citizens,244622,13894358,1.7605851238322776
2009,Illegal immigrants,42643.39931934797,2050168.7399064596,2.0799946116285826
2009,Legal immigrants,131861,5079770,2.595806503050335
2009,Native-born citizens,234516,13759828,1.7043526997575842
2010,Illegal immigrants,37945.59305109444,2059046.9283412367,1.842871696064903
2010,Legal immigrants,126970,5099436,2.4898831949258704
2010,Native-born citizens,240261,13692151,1.754735249414062
2011,Illegal immigrants,43410.30574302665,2000533.1825136356,2.169936800972346
2011,Legal immigrants,132587,5184813,2.5572185534946006
2011,Native-born citizens,237883,13796108,1.7242761509260438
2012,Illegal immigrants,46189.102162017036,1913519.6084237027,2.413829571365938
2012,Legal immigrants,135635,5283270,2.5672547494260187
2012,Native-born citizens,243367,13997199,1.7386835751924365
2013,Illegal immigrants,43134.486805658205,1885511.0222876584,2.287681498319955
2013,Legal immigrants,139257,5324362,2.6154682946050625
2013,Native-born citizens,266380,14138747,1.8840424826895903
2014,Illegal immigrants,44658.68783207207,1759005.5512273754,2.5388599712440207
2014,Legal immigrants,146879,5516320,2.662626533631116
2014,Native-born citizens,252742,14383009,1.7572261826437015
2015,Illegal immigrants,32677.56043608336,1615532.5732717349,2.0227113322701755
2015,Legal immigrants,156071,5755522,2.711674110532459
2015,Native-born citizens,264390,14540030,1.8183593844029209
2016,Illegal immigrants,38562.8180023596,1552922.47347349,2.483241672464463
2016,Legal immigrants,159767,5830116,2.740374291008961
2016,Native-born citizens,267909,14730495,1.8187372522104654
2017,Illegal immigrants,40724.51526502525,1465636.388518983,2.7786233737125707
2017,Legal immigrants,154949,5907119,2.623089191194557
2017,Native-born citizens,269815,15091787,1.7878267166108293
2018,Illegal immigrants,40664.19524570125,1480863.7630299896,2.7459781420066895
2018,Legal immigrants,166674,5891205,2.8292004776611916
2018,Native-born citizens,288912,15179740,1.9032737056102411
2019,Illegal immigrants,36274.88275677044,1450356.8794293706,2.5011004719777974
2019,Legal immigrants,153793,5906139,2.6039515832593847
2019,Native-born citizens,277338,15227303,1.8213205582104721
2020,Illegal immigrants,33843.85133240636,1364547.8856528564,2.480224526251349
2020,Legal immigrants,146105,5913092,2.470873106658919
2020,Native-born citizens,264417,15548361,1.7006101157543227
2021,Illegal immigrants,42554.21863096714,1386997.9039006634,3.0680809618595406
2021,Legal immigrants,162009,5975086,2.7114086726115745
2021,Native-born citizens,283779,15387626,1.844202607991642
2022,Illegal immigrants,46877.468640208856,1580202.097633448,2.966548943987214
2022,Legal immigrants,164180,5790497,2.835335205250948
2022,Native-born citizens,286747,15541158,1.8450812996045725
2023,Illegal immigrants,52557.07922191591,1577239.242097439,3.3322198572757187
2023,Legal immigrants,182985,5938775,3.081190986356614
2023,Native-born citizens,281957,15350428,1.8368022051241828
2024,Illegal immigrants,70670.10369204392,2096227.5520880707,3.371299247624563
2024,Legal immigrants,156877,5558792,2.822141932995514
2024,Native-born citizens,287847,15462712,1.8615557219199323
2004,All immigrants,173789.56498995508,6794277.188434126,2.5578815843103437
2005,All immigrants,178759.71129539533,7027231.91825882,2.543814027695954
2006,All immigrants,176851.43783948664,7114767.410399677,2.485695281914379
2007,All immigrants,186238.20247773107,7198945.244163613,2.587020683741408
2008,All immigrants,175085.4389839459,7050823.425692834,2.4831913723146672
2009,All immigrants,174504.39931934798,7129938.73990646,2.4474880596468824
2010,All immigrants,164915.59305109445,7158482.928341237,2.303778533831171
2011,All immigrants,175997.30574302666,7185346.182513636,2.4493921555420157
2012,All immigrants,181824.10216201705,7196789.608423702,2.5264612703030176
2013,All immigrants,182391.4868056582,7209873.022287658,2.5297461722534784
2014,All immigrants,191537.6878320721,7275325.551227375,2.6327026396744397
2015,All immigrants,188748.56043608335,7371054.573271735,2.560672405282504
2016,All immigrants,198329.8180023596,7383038.47347349,2.686289915932831
2017,All immigrants,195673.51526502526,7372755.388518983,2.6540079651866977
2018,All immigrants,207338.19524570124,7372068.76302999,2.8124831971925786
2019,All immigrants,190067.88275677044,7356495.87942937,2.5836741550858267
2020,All immigrants,179948.85133240637,7277639.885652857,2.4726264855060722
2021,All immigrants,204563.21863096714,7362083.903900663,2.778604825769279
2022,All immigrants,211057.46864020886,7370699.097633448,2.8634660816363304
2023,All immigrants,235542.07922191592,7516014.242097439,3.1338695169394053
2024,All immigrants,227547.10369204392,7655019.552088071,2.9725215219074856
