year,immig_status,n_hh,households,avg_cars
2004,Illegal immigrants,2184,894203,1.5292008637859635
2004,Legal immigrants,9032,2679149,1.9147288933911477
2004,Native-born citizens,32191,8395709,1.8646134590896373
2005,Illegal immigrants,7115,916450,1.5904544710567952
2005,Legal immigrants,26938,2789398,1.9550612712850586
2005,Native-born citizens,90152,8396173,1.8594702610344023
2006,Illegal immigrants,7828,957193,1.6126852160431595
2006,Legal immigrants,27622,2807827,1.9769376817018998
2006,Native-born citizens,89606,8384666,1.8633238342469456
2007,Illegal immigrants,8083,976632,1.6483721606500708
2007,Legal immigrants,28156,2825756,1.9839989723104188
2007,Native-born citizens,89625,8396980,1.864313598460399
2008,Illegal immigrants,6777,824187,1.6645712684136003
2008,Legal immigrants,29778,2961351,1.9479973836265947
2008,Native-born citizens,89715,8389585,1.8608622476558734
2009,Illegal immigrants,6620,792677,1.6770702316328088
2009,Legal immigrants,30784,3048753,1.9719029386768951
2009,Native-born citizens,89187,8373167,1.849048514140468
2010,Illegal immigrants,6864,814448,1.6927121191285386
2010,Legal immigrants,31698,3075761,1.955488739209581
2010,Native-born citizens,90061,8514962,1.8311857410520447
2011,Illegal immigrants,7012,798693,1.6549788216498704
2011,Legal immigrants,32856,3165326,1.9276466310263145
2011,Native-born citizens,89152,8503789,1.8111487714476453
2012,Illegal immigrants,6893,792245,1.6967150313350037
2012,Legal immigrants,33382,3228460,1.9337151459209654
2012,Native-born citizens,88969,8531210,1.8078970040592133
2013,Illegal immigrants,6766,785022,1.6877437829767827
2013,Legal immigrants,33681,3303201,1.95610015860373
2013,Native-born citizens,89680,8560886,1.8252102644516
2014,Illegal immigrants,6383,751821,1.7170643012099955
2014,Legal immigrants,34237,3391697,1.9565745407092674
2014,Native-born citizens,90477,8613896,1.8383112589239528
2015,Illegal immigrants,5765,696632,1.7953912539188552
2015,Legal immigrants,35408,3566933,1.9867297759728035
2015,Native-born citizens,91013,8631600,1.8518373186894665
2016,Illegal immigrants,5371,664740,1.834317176640491
2016,Legal immigrants,35855,3587480,2.011542085252043
2016,Native-born citizens,91573,8691151,1.8728942806309543
2017,Illegal immigrants,5296,638153,1.8355519757801029
2017,Legal immigrants,36004,3611928,2.0508753219886997
2017,Native-born citizens,92141,8753961,1.910139192989322
2018,Illegal immigrants,5256,648483,1.85862081195652
2018,Legal immigrants,36088,3624900,2.056488454853927
2018,Native-born citizens,92919,8797736,1.9166224128571259
2019,Illegal immigrants,5042,638200,1.8750611093701035
2019,Legal immigrants,36118,3653977,2.0647001883153617
2019,Native-born citizens,94434,8864327,1.9256197340192889
2020,Illegal immigrants,3847,567204,1.9559153320498446
2020,Legal immigrants,28717,3612098,2.0868243331161005
2020,Native-born citizens,71938,8925254,1.932995296268319
2021,Illegal immigrants,5186,619134,1.9090972228952052
2021,Legal immigrants,38413,3755902,2.05503418353301
2021,Native-born citizens,93193,9052116,1.9169752133092417
2022,Illegal immigrants,5799,696188,1.9469942027153584
2022,Legal immigrants,37550,3700498,2.0373979394124793
2022,Native-born citizens,94902,9151963,1.9141719650745965
2023,Illegal immigrants,5721,704218,1.9241868285104897
2023,Legal immigrants,38532,3817964,2.04104569870224
2023,Native-born citizens,95878,9176079,1.8948347109914812
2024,Illegal immigrants,7580,970583,1.9246215934134432
2024,Legal immigrants,37350,3647853,2.0485312867596366
2024,Native-born citizens,96255,9177863,1.9022966457442216
2004,All immigrants,NA,3573352,1.8182535613619928
2005,All immigrants,NA,3705848,1.8648946206104513
2006,All immigrants,NA,3765020,1.8843326197470398
2007,All immigrants,NA,3802388,1.8977942282586626
2008,All immigrants,NA,3785538,1.8862898747813388
2009,All immigrants,NA,3841430,1.9110643692583231
2010,All immigrants,NA,3890209,1.900474241872352
2011,All immigrants,NA,3964019,1.8727079764249364
2012,All immigrants,NA,4020705,1.8870163317129707
2013,All immigrants,NA,4088223,1.904570274175357
2014,All immigrants,NA,4143518,1.9131165835408461
2015,All immigrants,NA,4263565,1.955466610688473
2016,All immigrants,NA,4252220,1.9838369134240468
2017,All immigrants,NA,4250081,2.0185443524488123
2018,All immigrants,NA,4273383,2.026462172943544
2019,All immigrants,NA,4292177,2.036502921477842
2020,All immigrants,NA,4179302,2.0690577038940954
2021,All immigrants,NA,4375036,2.034381888514746
2022,All immigrants,NA,4396686,2.0230830675649796
2023,All immigrants,NA,4522182,2.0228478199240985
2024,All immigrants,NA,4618436,2.0224911636753222
