year,immig_status,pct
2004,Illegal immigrants,12.499510737494731
2004,Legal immigrants,8.726427682820178
2004,Native-born citizens,6.320752660674637
2005,Illegal immigrants,12.565551857711824
2005,Legal immigrants,9.054534347554561
2005,Native-born citizens,6.56458603223159
2006,Illegal immigrants,12.019415102283446
2006,Legal immigrants,8.773510618709771
2006,Native-born citizens,6.392037559993445
2007,Illegal immigrants,11.52952186698777
2007,Legal immigrants,8.59614205897466
2007,Native-born citizens,6.441113352657742
2008,Illegal immigrants,10.205693610794638
2008,Legal immigrants,9.078592844954887
2008,Native-born citizens,6.778762000742587
2009,Illegal immigrants,11.002589957826455
2009,Legal immigrants,8.851356603831139
2009,Native-born citizens,6.915889770262554
2010,Illegal immigrants,10.376353063670116
2010,Legal immigrants,8.86248964077508
2010,Native-born citizens,7.151141719716423
2011,Illegal immigrants,11.179138918207622
2011,Legal immigrants,8.902021466351332
2011,Native-born citizens,7.471093179757871
2012,Illegal immigrants,10.245946645292808
2012,Legal immigrants,8.635324581998848
2012,Native-born citizens,7.35396268524629
2013,Illegal immigrants,9.797050273750289
2013,Legal immigrants,8.383807101051374
2013,Native-born citizens,7.3205039758735255
2014,Illegal immigrants,10.128607740406293
2014,Legal immigrants,8.774899408762044
2014,Native-born citizens,7.090891276142643
2015,Illegal immigrants,8.685934611100265
2015,Legal immigrants,8.094040454362334
2015,Native-born citizens,7.0762662773993235
2016,Illegal immigrants,8.48271504648434
2016,Legal immigrants,8.420506873905916
2016,Native-born citizens,6.896439838635872
2017,Illegal immigrants,8.663439645351506
2017,Legal immigrants,7.878700793592784
2017,Native-born citizens,6.437702886727506
2018,Illegal immigrants,8.75458570232373
2018,Legal immigrants,7.887334823029601
2018,Native-born citizens,6.455581299552521
2019,Illegal immigrants,8.95455969915387
2019,Legal immigrants,7.924707790990475
2019,Native-born citizens,6.573990332260983
2020,Illegal immigrants,7.6683168665947345
2020,Legal immigrants,8.205369843232383
2020,Native-born citizens,6.670969812175653
2021,Illegal immigrants,8.628503684178224
2021,Legal immigrants,7.937800294043881
2021,Native-born citizens,6.206217419219992
2022,Illegal immigrants,9.094238912477664
2022,Legal immigrants,7.920042113250703
2022,Native-born citizens,6.32066585059402
2023,Illegal immigrants,8.9199651244359
2023,Legal immigrants,7.9735953508204895
2023,Native-born citizens,6.742356947885911
2024,Illegal immigrants,9.121321927130396
2024,Legal immigrants,8.120584902955246
2024,Native-born citizens,6.8018448303270596
2004,All immigrants,9.670611795311517
2005,All immigrants,9.922803093920745
2006,All immigrants,9.598727231196646
2007,All immigrants,9.34957190060562
2008,All immigrants,9.32398512443938
2009,All immigrants,9.295262441330442
2010,All immigrants,9.179429691309645
2011,All immigrants,9.360827987958684
2012,All immigrants,8.952683671147224
2013,All immigrants,8.65517854578872
2014,All immigrants,9.020523139998426
2015,All immigrants,8.190751167157062
2016,All immigrants,8.430231737774621
2017,All immigrants,7.996529948488041
2018,All immigrants,8.018939561466876
2019,All immigrants,8.077835559903518
2020,All immigrants,8.132482409742105
2021,All immigrants,8.035545307512898
2022,All immigrants,8.10596890476145
2023,All immigrants,8.120969036628779
2024,All immigrants,8.33089383505585
