year,immig_status,pct
2004,Illegal immigrants,86.71558334195612
2004,Legal immigrants,85.89545183992156
2004,Native-born citizens,87.68786183530204
2005,Illegal immigrants,87.84306058832615
2005,Legal immigrants,88.12346603436083
2005,Native-born citizens,86.74739706873737
2006,Illegal immigrants,84.24699407262375
2006,Legal immigrants,88.41856767467124
2006,Native-born citizens,86.50780773529387
2007,Illegal immigrants,84.1391410606622
2007,Legal immigrants,87.89430508735275
2007,Native-born citizens,86.05706556593323
2008,Illegal immigrants,85.33706314613065
2008,Legal immigrants,85.05638616704864
2008,Native-born citizens,85.76911964262233
2009,Illegal immigrants,87.09661170734033
2009,Legal immigrants,84.66777687257392
2009,Native-born citizens,84.84209537284725
2010,Illegal immigrants,85.17558218494631
2010,Legal immigrants,87.40398658916608
2010,Native-born citizens,86.4853344912727
2011,Illegal immigrants,85.33701081141672
2011,Legal immigrants,87.36065767884027
2011,Native-born citizens,86.23900164465267
2012,Illegal immigrants,82.86337536108164
2012,Legal immigrants,85.58829128986197
2012,Native-born citizens,85.24459750896197
2013,Illegal immigrants,84.09858562560838
2013,Legal immigrants,86.01619363669884
2013,Native-born citizens,85.09360340604408
2014,Illegal immigrants,88.01300001272368
2014,Legal immigrants,86.1133198867383
2014,Native-born citizens,86.11381696560755
2015,Illegal immigrants,87.75866043746971
2015,Legal immigrants,88.69814293216213
2015,Native-born citizens,85.32931458101044
2016,Illegal immigrants,85.5870621835644
2016,Legal immigrants,84.76735967242682
2016,Native-born citizens,84.27042048086771
2017,Illegal immigrants,84.85873548093143
2017,Legal immigrants,86.21012338778655
2017,Native-born citizens,83.87164423721055
2018,Illegal immigrants,86.22918396134696
2018,Legal immigrants,86.89800859224799
2018,Native-born citizens,83.96919729321291
2019,Illegal immigrants,85.61930881537641
2019,Legal immigrants,85.0202673844195
2019,Native-born citizens,83.21893174021504
2020,Illegal immigrants,84.30281394500042
2020,Legal immigrants,77.1326801684448
2020,Native-born citizens,72.18232887205964
2021,Illegal immigrants,85.53097514604697
2021,Legal immigrants,74.14482367753395
2021,Native-born citizens,70.51195216148943
2022,Illegal immigrants,85.5410179168328
2022,Legal immigrants,76.31892752657112
2022,Native-born citizens,72.63448745204863
2023,Illegal immigrants,87.38030455100811
2023,Legal immigrants,76.06897041614793
2023,Native-born citizens,73.8229593294945
2024,Illegal immigrants,84.03464919750714
2024,Legal immigrants,75.66675858808698
2024,Native-born citizens,73.5994819567218
2004,All immigrants,86.275901744507
2005,All immigrants,87.98883210056623
2006,All immigrants,86.602529483855193
2007,All immigrants,86.1264492433244
2008,All immigrants,85.17790514814916
2009,All immigrants,85.69493654733374
2010,All immigrants,86.52675320563343
2011,All immigrants,86.58292899393707
2012,All immigrants,84.6863675388076
2013,All immigrants,85.3574664308184
2014,All immigrants,86.8129575145911
2015,All immigrants,88.36767832780832
2016,All immigrants,85.08174926527558
2017,All immigrants,85.77941218612516
2018,All immigrants,86.70678668741812
2019,All immigrants,85.19750972197023
2020,All immigrants,79.12217700488523
2021,All immigrants,77.10603443009171
2022,All immigrants,78.53061683829944
2023,All immigrants,79.15753598285788
2024,All immigrants,77.73876077536738
