year,immig_status,drivers
2004,Illegal immigrants,107151.86986097434
2004,Legal immigrants,122663
2004,Native-born citizens,1708662
2005,Illegal immigrants,117019.16178217031
2005,Legal immigrants,127104
2005,Native-born citizens,1737160
2006,Illegal immigrants,107027.87142871312
2006,Legal immigrants,145697
2006,Native-born citizens,1812759
2007,Illegal immigrants,116788.19435705832
2007,Legal immigrants,137145
2007,Native-born citizens,1845085
2008,Illegal immigrants,114570.67964688253
2008,Legal immigrants,149564
2008,Native-born citizens,1917662
2009,Illegal immigrants,106547.15242222042
2009,Legal immigrants,141341
2009,Native-born citizens,1842078
2010,Illegal immigrants,93520.58292950156
2010,Legal immigrants,147815
2010,Native-born citizens,1840337
2011,Illegal immigrants,94473.42521818202
2011,Legal immigrants,154935
2011,Native-born citizens,1870392
2012,Illegal immigrants,86133.81651294643
2012,Legal immigrants,179821
2012,Native-born citizens,1894516
2013,Illegal immigrants,87122.1946425079
2013,Legal immigrants,170294
2013,Native-born citizens,1923900
2014,Illegal immigrants,105831.04945120004
2014,Legal immigrants,177607
2014,Native-born citizens,2006743
2015,Illegal immigrants,99748.57893272364
2015,Legal immigrants,185796
2015,Native-born citizens,2044859
2016,Illegal immigrants,109238.7736156961
2016,Legal immigrants,173896
2016,Native-born citizens,2066052
2017,Illegal immigrants,93754.67694372332
2017,Legal immigrants,203599
2017,Native-born citizens,2119652
2018,Illegal immigrants,87272.6447037608
2018,Legal immigrants,219666
2018,Native-born citizens,2166433
2019,Illegal immigrants,89290.20595772851
2019,Legal immigrants,211005
2019,Native-born citizens,2205077
2020,Illegal immigrants,75802.14407038986
2020,Legal immigrants,180600
2020,Native-born citizens,1854416
2021,Illegal immigrants,79034.15635526492
2021,Legal immigrants,194926
2021,Native-born citizens,1841622
2022,Illegal immigrants,72873.17372205865
2022,Legal immigrants,206084
2022,Native-born citizens,1989439
2023,Illegal immigrants,87788.72787775085
2023,Legal immigrants,203467
2023,Native-born citizens,2035361
2024,Illegal immigrants,84242.81750391555
2024,Legal immigrants,230487
2024,Native-born citizens,2018560
2004,All immigrants,229814.86986097434
2005,All immigrants,244123.16178217033
2006,All immigrants,252724.87142871312
2007,All immigrants,253933.19435705832
2008,All immigrants,264134.6796468825
2009,All immigrants,247888.15242222042
2010,All immigrants,241335.58292950157
2011,All immigrants,249408.42521818203
2012,All immigrants,265954.81651294645
2013,All immigrants,257416.1946425079
2014,All immigrants,283438.04945120006
2015,All immigrants,285544.5789327236
2016,All immigrants,283134.7736156961
2017,All immigrants,297353.67694372335
2018,All immigrants,306938.6447037608
2019,All immigrants,300295.2059577285
2020,All immigrants,256402.14407038986
2021,All immigrants,273960.1563552649
2022,All immigrants,278957.17372205865
2023,All immigrants,291255.7278777509
2024,All immigrants,314729.8175039155
