year,immig_status,pop,total,pct
2004,Illegal immigrants,4069.487959090278,143400.05527421754,2.837856618191937
2004,Legal immigrants,4583,192115,2.385550321422065
2004,Native-born citizens,64763,2535766,2.5539817159785247
2005,Illegal immigrants,2550.5245170251665,157042.9616821471,1.6240934898995312
2005,Legal immigrants,6258,186065,3.363340768011179
2005,Native-born citizens,58895,2571635,2.2901772607698994
2006,Illegal immigrants,3397.281081681418,145641.25817197567,2.332636455028321
2006,Legal immigrants,4579,205686,2.2262088814989838
2006,Native-born citizens,67800,2631134,2.5768356913786983
2007,Illegal immigrants,3990.758499954213,157165.2424590501,2.5392118750391126
2007,Legal immigrants,5301,198845,2.6658955467826697
2007,Native-born citizens,68984,2706215,2.5490953231727707
2008,Illegal immigrants,2489.441769205851,152390.72946136384,1.6335913464060214
2008,Legal immigrants,5880,210444,2.7940924901636537
2008,Native-born citizens,72633,2749519,2.6416620507077786
2009,Illegal immigrants,3477.1568693587847,150720.0383432145,2.307030244671729
2009,Legal immigrants,6676,207912,3.210973873561892
2009,Native-born citizens,67256,2762808,2.4343349230203475
2010,Illegal immigrants,4237.195329674608,139614.17575057593,3.0349320238400854
2010,Legal immigrants,7256,220075,3.2970578211973187
2010,Native-born citizens,65996,2747705,2.4018590059704374
2011,Illegal immigrants,3121.096188069279,136503.84071180332,2.286453019778953
2011,Legal immigrants,5049,225994,2.2341301096489286
2011,Native-born citizens,75516,2789909,2.7067549515055864
2012,Illegal immigrants,2307.82213510589,120820.23715085471,1.910128790944493
2012,Legal immigrants,7958,256156,3.106700604319243
2012,Native-born citizens,72154,2815999,2.5622878417215347
2013,Illegal immigrants,3662.550125537956,121817.76448020575,3.00658129884914
2013,Legal immigrants,6813,241025,2.826677730525879
2013,Native-born citizens,72388,2865135,2.5265127123154754
2014,Illegal immigrants,3085.7591045829868,137100.64725415653,2.250725409678498
2014,Legal immigrants,7872,256036,3.074567638925776
2014,Native-born citizens,70492,2905634,2.426045400074476
2015,Illegal immigrants,2773.08522653804,134412.37647621272,2.0631174741775355
2015,Legal immigrants,9486,256984,3.6912803909971053
2015,Native-born citizens,71165,2970817,2.39546899051675
2016,Illegal immigrants,2982.0363266922423,142024.4854106868,2.0996635320094286
2016,Legal immigrants,10501,256425,4.0951545286146045
2016,Native-born citizens,79455,3043358,2.6107674483251726
2017,Illegal immigrants,2843.0251357030365,123378.02202623509,2.304320566185196
2017,Legal immigrants,8930,289135,3.0885226624241273
2017,Native-born citizens,83146,3101885,2.680499115860195
2018,Illegal immigrants,2701.822932040058,115538.19653885553,2.3384672887216427
2018,Legal immigrants,9962,302706,3.290982008945974
2018,Native-born citizens,80823,3146804,2.568415446275014
2019,Illegal immigrants,3167.5802980591316,117961.33832373575,2.6852698884832527
2019,Legal immigrants,8612,289916,2.97051559762138
2019,Native-born citizens,83597,3225777,2.591530660674932
2020,Illegal immigrants,3021.504409882893,104913.88422591695,2.879985268085698
2020,Legal immigrants,13004,302215,4.302896944228447
2020,Native-born citizens,82472,3276611,2.516990878685325
2021,Illegal immigrants,3356.3340988715763,107815.41966545877,3.113037178991622
2021,Legal immigrants,12484,316882,3.9396368364249152
2021,Native-born citizens,83075,3258550,2.5494468398520813
2022,Illegal immigrants,3910.1121625421683,99001.52340161275,3.949547469770018
2022,Legal immigrants,14168,323979,4.373122949326962
2022,Native-born citizens,89209,3331040,2.678112541428503
2023,Illegal immigrants,3881.022808277683,116287.83035027028,3.3374281699019273
2023,Legal immigrants,16435,319501,5.143958860848636
2023,Native-born citizens,65672,3359661,1.954721026913132
2024,Illegal immigrants,3486.328230604691,112401.61169761338,3.1016710329596777
2024,Legal immigrants,16537,362202,4.565684341886572
2024,Native-born citizens,75344,3352896,2.247132031533337
2004,All immigrants,8652.487959090278,335515.05527421756,2.5788672737855447
2005,All immigrants,8808.524517025166,343107.9616821471,2.5672748815969837
2006,All immigrants,7976.281081681418,351327.25817197567,2.270327990826435
2007,All immigrants,9291.758499954212,356010.2424590501,2.6099694311528108
2008,All immigrants,8369.44176920585,362834.72946136387,2.3066815521299384
2009,All immigrants,10153.156869358785,358632.0383432145,2.8310791518414513
2010,All immigrants,11493.195329674609,359689.17575057596,3.1953130937819734
2011,All immigrants,8170.096188069279,362497.84071180335,2.2538330633987833
2012,All immigrants,10265.822135105891,376976.2371508547,2.723201391338047
2013,All immigrants,10475.550125537957,362842.7644802057,2.8870770347439114
2014,All immigrants,10957.759104582987,393136.64725415653,2.7872647287188594
2015,All immigrants,12259.08522653804,391396.3764762127,3.132140705263553
2016,All immigrants,13483.036326692243,398449.4854106868,3.3838759542618337
2017,All immigrants,11773.025135703037,412513.0220262351,2.8539766036656884
2018,All immigrants,12663.822932040059,418244.1965388555,3.027853832004952
2019,All immigrants,11779.580298059132,407877.33832373575,2.8880202921961744
2020,All immigrants,16025.504409882893,407128.88422591693,3.9362238914471854
2021,All immigrants,15840.334098871575,424697.4196654588,3.729792874971849
2022,All immigrants,18078.11216254217,422980.52340161277,4.273982172313242
2023,All immigrants,20316.022808277685,435788.83035027026,4.661896173875877
2024,All immigrants,20023.32823060469,474603.6116976134,4.2189582500190195
