year,immig_status,n,population
2004,Illegal immigrants,385,173516.13379759848
2004,Legal immigrants,737,231288
2004,Native-born citizens,12257,3061524
2005,Illegal immigrants,1030,195110.7175492958
2005,Legal immigrants,2234,236553
2005,Native-born citizens,32876,3083759
2006,Illegal immigrants,1105,189770.86906958444
2006,Legal immigrants,2211,254584
2006,Native-born citizens,33270,3184673
2007,Illegal immigrants,1153,198961.44225169666
2007,Legal immigrants,2235,251333
2007,Native-born citizens,33626,3260828
2008,Illegal immigrants,1060,193504.57382535771
2008,Legal immigrants,2379,271738
2008,Native-born citizens,34231,3307298
2009,Illegal immigrants,1135,195470.77991152095
2009,Legal immigrants,2497,269147
2009,Native-born citizens,34462,3362428
2010,Illegal immigrants,1101,170492.03714351496
2010,Legal immigrants,2579,284827
2010,Native-born citizens,34887,3396254
2011,Illegal immigrants,1071,170867.99001666182
2011,Legal immigrants,2547,293599
2011,Native-born citizens,35088,3452577
2012,Illegal immigrants,915,150326.12311091367
2012,Legal immigrants,2741,326221
2012,Native-born citizens,35511,3503749
2013,Illegal immigrants,980,152836.60466009183
2013,Legal immigrants,2813,318713
2013,Native-born citizens,36133,3575496
2014,Illegal immigrants,998,171427.26156305446
2014,Legal immigrants,2812,332876
2014,Native-born citizens,36607,3625019
2015,Illegal immigrants,982,167492.5859633175
2015,Legal immigrants,2873,337256
2015,Native-born citizens,37343,3716037
2016,Illegal immigrants,994,174233.4108386344
2016,Legal immigrants,2951,333805
2016,Native-born citizens,38180,3799795
2017,Illegal immigrants,902,153951.0525194349
2017,Legal immigrants,3224,366059
2017,Native-born citizens,38848,3862248
2018,Illegal immigrants,760,142533.5662601361
2018,Legal immigrants,3086,383954
2018,Native-born citizens,39517,3930456
2019,Illegal immigrants,769,140566.62494892
2019,Legal immigrants,3118,374099
2019,Native-born citizens,41108,4023184
2020,Illegal immigrants,660,126890.28789783905
2020,Legal immigrants,2805,373179
2020,Native-born citizens,33806,4088568
2021,Illegal immigrants,897,132895.25008981163
2021,Legal immigrants,3616,402345
2021,Native-born citizens,41683,4077031
2022,Illegal immigrants,834,124910.36255067645
2022,Legal immigrants,3608,403552
2022,Native-born citizens,42711,4134306
2023,Illegal immigrants,817,135811.12795713276
2023,Legal immigrants,3544,402449
2023,Native-born citizens,43786,4164298
2024,Illegal immigrants,831,143570.51961084714
2024,Legal immigrants,3790,448458
2024,Native-born citizens,44868,4190621
