year,immig_status,pop,total,pct
2004,Illegal immigrants,3306.341148991417,143400.05527421754,2.305676342082887
2004,Legal immigrants,2388,192115,1.2430054915024855
2004,Native-born citizens,52851,2535766,2.0842222823399323
2005,Illegal immigrants,2256.6841286802487,157042.9616821471,1.4369852074286193
2005,Legal immigrants,5433,186065,2.919947330234058
2005,Native-born citizens,46677,2571635,1.8150709568037455
2006,Illegal immigrants,2793.606623408566,145641.25817197567,1.9181423303208684
2006,Legal immigrants,3108,205686,1.5110411014847875
2006,Native-born citizens,55085,2631134,2.093583983179876
2007,Illegal immigrants,3399.418544769054,157165.2424590501,2.1629582289193383
2007,Legal immigrants,3823,198845,1.922603032512761
2007,Native-born citizens,52965,2706215,1.9571615706808216
2008,Illegal immigrants,2265.6652736672786,152390.72946136384,1.4867474430206076
2008,Legal immigrants,4363,210444,2.0732356351333374
2008,Native-born citizens,60756,2749519,2.2096955867553563
2009,Illegal immigrants,2676.909453948044,150720.0383432145,1.7760806614527775
2009,Legal immigrants,5279,207912,2.539054984801262
2009,Native-born citizens,51107,2762808,1.8498209068454994
2010,Illegal immigrants,3443.7298699611997,139614.17575057593,2.4666047351190943
2010,Legal immigrants,5906,220075,2.6836305804839258
2010,Native-born citizens,52103,2747705,1.896237041458235
2011,Illegal immigrants,1991.038312064472,136503.84071180332,1.4585950854438554
2011,Legal immigrants,4103,225994,1.8155349257059923
2011,Native-born citizens,58204,2789909,2.08623292014184
2012,Illegal immigrants,1795.9421347310472,120820.23715085471,1.4864580446805904
2012,Legal immigrants,5600,256156,2.186167803994441
2012,Native-born citizens,58093,2815999,2.062962380313345
2013,Illegal immigrants,3028.9902341294023,121817.76448020575,2.486493039052268
2013,Legal immigrants,4288,241025,1.7790685613525568
2013,Native-born citizens,60028,2865135,2.0951194271823144
2014,Illegal immigrants,3085.7591045829868,137100.64725415653,2.250725409678498
2014,Legal immigrants,4941,256036,1.9298067459263542
2014,Native-born citizens,55517,2905634,1.9106673448892737
2015,Illegal immigrants,2708.904724258288,134412.37647621272,2.0153685213189347
2015,Legal immigrants,6349,256984,2.4705818261059056
2015,Native-born citizens,54626,2970817,1.83875344728403
2016,Illegal immigrants,1934.5364108401764,142024.4854106868,1.3621147122949617
2016,Legal immigrants,6889,256425,2.6865555230574243
2016,Native-born citizens,62446,3043358,2.0518782213594324
2017,Illegal immigrants,2172.174517769995,123378.02202623509,1.7605846504072695
2017,Legal immigrants,5872,289135,2.030885226624241
2017,Native-born citizens,64143,3101885,2.067871632894192
2018,Illegal immigrants,2051.674656621774,115538.19653885553,1.7757544414602275
2018,Legal immigrants,8011,302706,2.6464622438934144
2018,Native-born citizens,59642,3146804,1.8953198229060342
2019,Illegal immigrants,2873.3919549857587,117961.33832373575,2.4358760215995154
2019,Legal immigrants,5703,289916,1.9671215110583757
2019,Native-born citizens,64955,3225777,2.0136233843814995
2020,Illegal immigrants,2438.7751186361893,104913.88422591695,2.324549449894199
2020,Legal immigrants,8377,302215,2.7718677100739537
2020,Native-born citizens,61351,3276611,1.8723919317856164
2021,Illegal immigrants,2411.650081738559,107815.41966545877,2.2368322538850984
2021,Legal immigrants,9822,316882,3.099576498507331
2021,Native-born citizens,61928,3258550,1.9004772061192863
2022,Illegal immigrants,2936.878669342401,99001.52340161275,2.966498462279782
2022,Legal immigrants,8630,323979,2.6637528975643483
2022,Native-born citizens,66629,3331040,2.0002461693645226
2023,Illegal immigrants,2227.117130017235,116287.83035027028,1.9151764404830165
2023,Legal immigrants,10347,319501,3.2384875164709968
2023,Native-born citizens,51375,3359661,1.5291721396890936
2024,Illegal immigrants,3158.5817103960694,112401.61169761338,2.8100857831944555
2024,Legal immigrants,10259,362202,2.8323973915108143
2024,Native-born citizens,57827,3352896,1.724688150184199
2004,All immigrants,5694.341148991417,335515.05527421756,1.6971939289989277
2005,All immigrants,7689.684128680248,343107.9616821471,2.2411849876581758
2006,All immigrants,5901.6066234085665,351327.25817197567,1.6798032279407464
2007,All immigrants,7222.418544769054,356010.2424590501,2.028710886204295
2008,All immigrants,6628.665273667279,362834.72946136387,1.8269103631583663
2009,All immigrants,7955.909453948044,358632.0383432145,2.218404549326449
2010,All immigrants,9349.7298699612,359689.17575057596,2.5993915025245875
2011,All immigrants,6094.038312064472,362497.84071180335,1.6811240310006192
2012,All immigrants,7395.942134731047,376976.2371508547,1.9619120267709103
2013,All immigrants,7316.990234129403,362842.7644802057,2.016573279230588
2014,All immigrants,8026.759104582987,393136.64725415653,2.0417224292483263
2015,All immigrants,9057.904724258287,391396.3764762127,2.3142535977996688
2016,All immigrants,8823.536410840175,398449.4854106868,2.2144680151225815
2017,All immigrants,8044.174517769995,412513.0220262351,1.9500413534238439
2018,All immigrants,10062.674656621773,418244.1965388555,2.405932883204259
2019,All immigrants,8576.391954985758,407877.33832373575,2.1026890070020516
2020,All immigrants,10815.77511863619,407128.88422591693,2.6565973424362803
2021,All immigrants,12233.650081738559,424697.4196654588,2.8805567246853556
2022,All immigrants,11566.8786693424,422980.52340161277,2.7346125954740113
2023,All immigrants,12574.117130017235,435788.83035027026,2.885369301436809
2024,All immigrants,13417.581710396069,474603.6116976134,2.827113275097637
