year,immig_status,n_hh,households,avg_cars
2004,Illegal immigrants,170,72457,1.6186151786576866
2004,Legal immigrants,364,114671,1.852665451596306
2004,Native-born citizens,6568,1663110,1.9390340987667682
2005,Illegal immigrants,421,73736,1.6194938700227839
2005,Legal immigrants,1032,107901,1.89228088710948
2005,Native-born citizens,17699,1631090,1.910782360262156
2006,Illegal immigrants,447,68980,1.6740504494056248
2006,Legal immigrants,1030,117107,1.843946134731485
2006,Native-born citizens,17870,1660297,1.9126800807325437
2007,Illegal immigrants,495,72649,1.5653346914616857
2007,Legal immigrants,1025,113228,1.8963772211820398
2007,Native-born citizens,18051,1673984,1.9111329618443187
2008,Illegal immigrants,449,69348,1.5493453307954086
2008,Legal immigrants,1114,123998,1.7826900433877966
2008,Native-born citizens,18324,1704353,1.928074172427895
2009,Illegal immigrants,454,68986,1.6448119908387209
2009,Legal immigrants,1165,122463,1.8873863942578575
2009,Native-born citizens,18366,1718606,1.915213260049133
2010,Illegal immigrants,453,63622,1.7181163748388921
2010,Legal immigrants,1190,128023,1.8976980698780688
2010,Native-born citizens,18743,1768897,1.8909896958387062
2011,Illegal immigrants,438,61676,1.618830663467151
2011,Legal immigrants,1207,132418,1.896343397423311
2011,Native-born citizens,18860,1781083,1.88234237259016
2012,Illegal immigrants,360,53562,1.6528509017587096
2012,Legal immigrants,1290,144436,1.8802237669279127
2012,Native-born citizens,18933,1798027,1.8844989535752243
2013,Illegal immigrants,402,56236,1.7847464257770822
2013,Legal immigrants,1325,147841,1.9222340216854594
2013,Native-born citizens,19010,1798595,1.901565944528924
2014,Illegal immigrants,410,65792,1.8735560554474708
2014,Legal immigrants,1313,152480,1.9125524658971669
2014,Native-born citizens,19260,1821174,1.9229766073972063
2015,Illegal immigrants,414,63427,1.8621407287117473
2015,Legal immigrants,1302,151977,1.944557400132915
2015,Native-born citizens,19599,1858872,1.949276765694464
2016,Illegal immigrants,443,71918,1.844656414249562
2016,Legal immigrants,1345,151002,1.9727619501728455
2016,Native-born citizens,19884,1886031,1.9648012148262675
2017,Illegal immigrants,393,61999,1.9366441394216036
2017,Legal immigrants,1483,167479,1.9449363800834731
2017,Native-born citizens,20138,1909545,2.001097643679515
2018,Illegal immigrants,361,60658,1.898232714563619
2018,Legal immigrants,1407,171888,1.9894117099506656
2018,Native-born citizens,20578,1944081,1.9871846903498362
2019,Illegal immigrants,329,53482,1.950244942223552
2019,Legal immigrants,1427,173067,2.029139003969561
2019,Native-born citizens,21221,2008523,2.0034896289462454
2020,Illegal immigrants,263,45838,1.9105327457567958
2020,Legal immigrants,1239,163349,1.9762043232587894
2020,Native-born citizens,17424,1996170,1.9994429332171109
2021,Illegal immigrants,390,57286,2.1012638340955907
2021,Legal immigrants,1644,184179,1.9847973981832892
2021,Native-born citizens,21582,2071448,1.9784976499530762
2022,Illegal immigrants,351,53929,2.0018172041016893
2022,Legal immigrants,1624,183549,2.0825828525352903
2022,Native-born citizens,22285,2146819,1.9673856994930639
2023,Illegal immigrants,341,59818,2.1104349861245777
2023,Legal immigrants,1622,186488,1.8727907425678865
2023,Native-born citizens,22822,2181878,1.96382382516346
2024,Illegal immigrants,345,59036,1.9636831763669624
2024,Legal immigrants,1761,220326,1.939698446846945
2024,Native-born citizens,23270,2200438,1.9683431207786812
2004,All immigrants,NA,187128,1.762039887136078
2005,All immigrants,NA,181637,1.7815423069088347
2006,All immigrants,NA,186087,1.7809680418298968
2007,All immigrants,NA,185877,1.7669910747429751
2008,All immigrants,NA,193346,1.6989955830480072
2009,All immigrants,NA,191449,1.7999780620426327
2010,All immigrants,NA,191645,1.8380808265282162
2011,All immigrants,NA,194094,1.808159963728915
2012,All immigrants,NA,197998,1.8187153405589955
2013,All immigrants,NA,204077,1.8843475746899454
2014,All immigrants,NA,218272,1.9007980867907932
2015,All immigrants,NA,215404,1.9202893168186292
2016,All immigrants,NA,222920,1.9314328010048447
2017,All immigrants,NA,229478,1.9426960318636208
2018,All immigrants,NA,232546,1.9656283057975625
2019,All immigrants,NA,226549,2.010514281678577
2020,All immigrants,NA,209187,1.961814070664047
2021,All immigrants,NA,241465,2.0124283022384195
2022,All immigrants,NA,237478,2.0642417402875215
2023,All immigrants,NA,246306,1.9305051440078602
2024,All immigrants,NA,279362,1.9447670048181214
