year,immig_status,pct
2004,Illegal immigrants,8.889410270919305
2004,Legal immigrants,7.813658204777145
2004,Native-born citizens,5.343062094509684
2005,Illegal immigrants,6.276445698166431
2005,Legal immigrants,6.046283166977137
2005,Native-born citizens,5.36929292681581
2006,Illegal immigrants,7.019425920556683
2006,Legal immigrants,7.231847797313567
2006,Native-born citizens,5.184313408986465
2007,Illegal immigrants,11.344960013214221
2007,Legal immigrants,7.355954357579398
2007,Native-born citizens,5.039952592139471
2008,Illegal immigrants,11.884985868373999
2008,Legal immigrants,9.409022726173003
2008,Native-born citizens,5.435611050058292
2009,Illegal immigrants,9.37871452178703
2009,Legal immigrants,7.620260813470191
2009,Native-born citizens,5.2719471478628614
2010,Illegal immigrants,6.283989814843922
2010,Legal immigrants,6.725354037946306
2010,Native-born citizens,5.782303887676897
2011,Illegal immigrants,11.057785848628315
2011,Legal immigrants,7.554864142337145
2011,Native-born citizens,5.351687709107324
2012,Illegal immigrants,10.212464060341286
2012,Legal immigrants,8.04162397186297
2012,Native-born citizens,5.461263929851999
2013,Illegal immigrants,9.835336794935628
2013,Legal immigrants,5.915814963372813
2013,Native-born citizens,5.477386515585777
2014,Illegal immigrants,6.221121108949417
2014,Legal immigrants,6.511673662119623
2014,Native-born citizens,5.400746990677442
2015,Illegal immigrants,6.3064625474955465
2015,Legal immigrants,5.545575975312054
2015,Native-born citizens,4.908622003021187
2016,Illegal immigrants,6.379487749937429
2016,Legal immigrants,6.574085111455477
2016,Native-born citizens,4.962802838341469
2017,Illegal immigrants,7.108179164180068
2017,Legal immigrants,6.6700899814305075
2017,Native-born citizens,4.715154657261285
2018,Illegal immigrants,6.966929341554288
2018,Legal immigrants,5.540817276366006
2018,Native-born citizens,4.729432569939215
2019,Illegal immigrants,7.81571369806664
2019,Legal immigrants,5.700682394679517
2019,Native-born citizens,4.866013483539895
2020,Illegal immigrants,5.990662768881714
2020,Legal immigrants,6.25593055359996
2020,Native-born citizens,4.6167410591282305
2021,Illegal immigrants,6.44834689103795
2021,Legal immigrants,7.1490235043083095
2021,Native-born citizens,4.8600785537459785
2022,Illegal immigrants,8.399933245563611
2022,Legal immigrants,5.687854469378749
2022,Native-born citizens,4.859748306680721
2023,Illegal immigrants,10.149118994282658
2023,Legal immigrants,8.63808931405774
2023,Native-born citizens,5.089606293294126
2024,Illegal immigrants,9.075818144860763
2024,Legal immigrants,6.958779263455062
2024,Native-born citizens,4.885845454404986
2004,All immigrants,8.230195374289256
2005,All immigrants,6.139718229215413
2006,All immigrants,7.153105805349111
2007,All immigrants,8.915035211457038
2008,All immigrants,10.297083984152762
2009,All immigrants,8.25389529326348
2010,All immigrants,6.578830650421352
2011,All immigrants,8.667965006646265
2012,All immigrants,8.628875039141809
2013,All immigrants,6.995888806675911
2014,All immigrants,6.424094707520892
2015,All immigrants,5.769623591019665
2016,All immigrants,6.511304503857886
2017,All immigrants,6.78845030896208
2018,All immigrants,5.912808648611458
2019,All immigrants,6.199983226586743
2020,All immigrants,6.197803878826122
2021,All immigrants,6.982792537220715
2022,All immigrants,6.303741820294932
2023,All immigrants,9.005058748061355
2024,All immigrants,7.406161181549388
