year,immig_status,pct
2004,Illegal immigrants,77.63737883704329
2004,Legal immigrants,82.9150969645067
2004,Native-born citizens,89.07193889041368
2005,Illegal immigrants,77.308522380627835
2005,Legal immigrants,82.8699762984141
2005,Native-born citizens,89.08787058488036
2006,Illegal immigrants,76.82482072858319
2006,Legal immigrants,82.540880901837
2006,Native-born citizens,88.7331738195748
2007,Illegal immigrants,76.11162731043555
2007,Legal immigrants,82.31565348816639
2007,Native-born citizens,88.47866454241827
2008,Illegal immigrants,76.30611440563254
2008,Legal immigrants,81.73927329089577
2008,Native-born citizens,88.36052571527621
2009,Illegal immigrants,76.33061483746083
2009,Legal immigrants,81.82499908186416
2009,Native-born citizens,88.17232581914374
2010,Illegal immigrants,76.50156275198037
2010,Legal immigrants,82.13210224715984
2010,Native-born citizens,88.36619133744479
2011,Illegal immigrants,75.94572547698763
2011,Legal immigrants,81.80624699053693
2011,Native-born citizens,88.18591349832062
2012,Illegal immigrants,76.82692947241925
2012,Legal immigrants,81.79653094399204
2012,Native-born citizens,88.03062781996667
2013,Illegal immigrants,76.84465156405389
2013,Legal immigrants,81.44882403009096
2013,Native-born citizens,87.83457336877292
2014,Illegal immigrants,77.78428080584075
2014,Legal immigrants,81.40762834994773
2014,Native-born citizens,87.6484843523425
2015,Illegal immigrants,78.50780620056952
2015,Legal immigrants,81.16021861723465
2015,Native-born citizens,87.41537320849336
2016,Illegal immigrants,79.12979797036844
2016,Legal immigrants,81.19584282903156
2016,Native-born citizens,87.16139455232698
2017,Illegal immigrants,79.26293243627292
2017,Legal immigrants,81.42580484773404
2017,Native-born citizens,87.01276315957604
2018,Illegal immigrants,79.827312085283893
2018,Legal immigrants,81.76611795114295
2018,Native-born citizens,86.91232512254943
2019,Illegal immigrants,78.76779289176451
2019,Legal immigrants,81.24891996775347
2019,Native-born citizens,86.38763602496394
2020,Illegal immigrants,77.13252253907751
2020,Legal immigrants,73.59449693338888
2020,Native-born citizens,77.89475391633964
2021,Illegal immigrants,76.23866806328654
2021,Legal immigrants,71.55868334588779
2021,Native-born citizens,76.76756180963122
2022,Illegal immigrants,76.92366345179822
2022,Legal immigrants,73.36639848701594
2022,Native-born citizens,78.61825094815651
2023,Illegal immigrants,77.82374594305904
2023,Legal immigrants,74.8121299782563
2023,Native-born citizens,79.38710815072764
2024,Illegal immigrants,78.34571245330743
2024,Legal immigrants,75.22165123417773
2024,Native-born citizens,79.61509628109863
2004,All immigrants,81.07106708459871
2005,All immigrants,80.87426306761229
2006,All immigrants,80.44964729898774
2007,All immigrants,80.04810127754307
2008,All immigrants,79.94620122830077
2009,All immigrants,80.05435088352883
2010,All immigrants,80.32491900059186
2011,All immigrants,79.99428499389553
2012,All immigrants,80.29925659945253
2013,All immigrants,80.07660122392475
2014,All immigrants,80.37021887905166
2015,All immigrants,80.43721042298716
2016,All immigrants,80.6540699302911
2017,All immigrants,80.87846848319094
2018,All immigrants,81.28446305763603
2019,All immigrants,80.6380159257455
2020,All immigrants,74.37397161500584
2021,All immigrants,72.63251267258897
2022,All immigrants,74.20815634114417
2023,All immigrants,75.54648445630492
2024,All immigrants,76.04935974791228
