year,immig_status,drivers
2004,Illegal immigrants,5307750.771601864
2004,Legal immigrants,10555193
2004,Native-born citizens,99540628
2005,Illegal immigrants,5708555.5007279
2005,Legal immigrants,10933210
2005,Native-born citizens,100637762
2006,Illegal immigrants,6180649.465243103
2006,Legal immigrants,11510292
2006,Native-born citizens,102420958
2007,Illegal immigrants,6201128.648291797
2007,Legal immigrants,11642661
2007,Native-born citizens,102775417
2008,Illegal immigrants,5774814.276010804
2008,Legal immigrants,12558086
2008,Native-born citizens,106112378
2009,Illegal immigrants,5494902.794780035
2009,Legal immigrants,12387791
2009,Native-born citizens,101728865
2010,Illegal immigrants,5564775.427833927
2010,Legal immigrants,12639586
2010,Native-born citizens,100229197
2011,Illegal immigrants,5398719.595493848
2011,Legal immigrants,12993476
2011,Native-born citizens,100797254
2012,Illegal immigrants,5426417.286921982
2012,Legal immigrants,13398428
2012,Native-born citizens,102609572
2013,Illegal immigrants,5479989.972916044
2013,Legal immigrants,13680151
2013,Native-born citizens,103750444
2014,Illegal immigrants,5485909.693997077
2014,Legal immigrants,14311654
2014,Native-born citizens,105267921
2015,Illegal immigrants,5421935.298395871
2015,Legal immigrants,14957696
2015,Native-born citizens,106631844
2016,Illegal immigrants,5347063.549273464
2016,Legal immigrants,15436693
2016,Native-born citizens,107666015
2017,Illegal immigrants,5277861.464832135
2017,Legal immigrants,16003400
2017,Native-born citizens,109089584
2018,Illegal immigrants,5328939.236728636
2018,Legal immigrants,16513199
2018,Native-born citizens,110200799
2019,Illegal immigrants,5264823.60382111
2019,Legal immigrants,16625440
2019,Native-born citizens,111132063
2020,Illegal immigrants,4233842.791195138
2020,Legal immigrants,14296230
2020,Native-born citizens,96668981
2021,Illegal immigrants,4624404.217864608
2021,Legal immigrants,14576458
2021,Native-born citizens,97389070
2022,Illegal immigrants,5041752.405403525
2022,Legal immigrants,15512526
2022,Native-born citizens,103530524
2023,Illegal immigrants,5492485.405327061
2023,Legal immigrants,16373290
2023,Native-born citizens,105012083
2024,Illegal immigrants,6310427.959632083
2024,Legal immigrants,16809222
2024,Native-born citizens,106501920
2004,All immigrants,15862943.771601865
2005,All immigrants,16641765.500727901
2006,All immigrants,17690941.4652431
2007,All immigrants,17843789.648291796
2008,All immigrants,18332900.276010804
2009,All immigrants,17882693.794780035
2010,All immigrants,18204361.427833926
2011,All immigrants,18392195.59549385
2012,All immigrants,18824845.28692198
2013,All immigrants,19160140.972916044
2014,All immigrants,19797563.693997078
2015,All immigrants,20379631.298395872
2016,All immigrants,20783756.549273465
2017,All immigrants,21281261.464832135
2018,All immigrants,21842138.236728635
2019,All immigrants,21890263.60382111
2020,All immigrants,18530072.79119514
2021,All immigrants,19200862.217864607
2022,All immigrants,20554278.405403525
2023,All immigrants,21865775.40532706
2024,All immigrants,23119649.959632084
