year,immig_status,pop,pct
2004,Illegal immigrants,5307750.771601864,4.599295056574651
2004,Legal immigrants,10555193,9.146331294572104
2004,Native-born citizens,99540628,86.25437364885325
2005,Illegal immigrants,5708555.5007279,4.867478256759237
2005,Legal immigrants,10933210,9.322351678072835
2005,Native-born citizens,100637762,85.81017006516792
2006,Illegal immigrants,6180649.465243103,5.145742838769779
2006,Legal immigrants,11510292,9.582973919524722
2006,Native-born citizens,102420958,85.2712832417055
2007,Illegal immigrants,6201128.648291797,5.1410789546754305
2007,Legal immigrants,11642661,9.652410526914109
2007,Native-born citizens,102775417,85.20651051841045
2008,Illegal immigrants,5774814.276010804,4.640444664523692
2008,Legal immigrants,12558086,10.091251491396127
2008,Native-born citizens,106112378,85.26830384408018
2009,Illegal immigrants,5494902.794780035,4.5939563451453305
2009,Legal immigrants,12387791,10.356683856326947
2009,Native-born citizens,101728865,85.04935979852772
2010,Illegal immigrants,5564775.427833927,4.698647496287765
2010,Legal immigrants,12639586,10.67230113473436
2010,Native-born citizens,100229197,84.62905136897787
2011,Illegal immigrants,5398719.595493848,4.529528086433881
2011,Legal immigrants,12993476,10.90153200983591
2011,Native-born citizens,100797254,84.5689399037302
2012,Illegal immigrants,5426417.286921982,4.468599107368868
2012,Legal immigrants,13398428,11.033468352174454
2012,Native-born citizens,102609572,84.49793254045667
2013,Illegal immigrants,5479989.972916044,4.458517526479585
2013,Legal immigrants,13680151,11.130165073264022
2013,Native-born citizens,103750444,84.41131740025641
2014,Illegal immigrants,5485909.693997077,4.386429803090501
2014,Legal immigrants,14311654,11.443328297185207
2014,Native-born citizens,105267921,84.1702418997243
2015,Illegal immigrants,5421935.298395871,4.268854672900843
2015,Legal immigrants,14957696,11.776649286892358
2015,Native-born citizens,106631844,83.9544960402068
2016,Illegal immigrants,5347063.549273464,4.162766102874947
2016,Legal immigrants,15436693,12.017688170101938
2016,Native-born citizens,107666015,83.81954572702311
2017,Illegal immigrants,5277861.464832135,4.048344893380208
2017,Legal immigrants,16003400,12.275290493776048
2017,Native-born citizens,109089584,83.67636461284374
2018,Illegal immigrants,5328939.236728636,4.035762418079833
2018,Legal immigrants,16513199,12.50593128687745
2018,Native-born citizens,110200799,83.45830629504272
2019,Illegal immigrants,5264823.60382111,3.957849586784987
2019,Legal immigrants,16625440,12.498232758712271
2019,Native-born citizens,111132063,83.54391765450274
2020,Illegal immigrants,4233842.791195138,3.675240943271305
2020,Legal immigrants,14296230,12.41002380619613
2020,Native-born citizens,96668981,83.91473525053257
2021,Illegal immigrants,4624404.217864608,3.9663838291142173
2021,Legal immigrants,14576458,12.50232993768437
2021,Native-born citizens,97389070,83.53128623320141
2022,Illegal immigrants,5041752.405403525,4.063150609638212
2022,Legal immigrants,15512526,12.501551921981765
2022,Native-born citizens,103530524,83.43529746838001
2023,Illegal immigrants,5492485.405327061,4.328955007879022
2023,Legal immigrants,16373290,12.904765422264216
2023,Native-born citizens,105012083,82.76627956985676
2024,Illegal immigrants,6310427.959632083,4.8683471135223355
2024,Legal immigrants,16809222,12.967920389511466
2024,Native-born citizens,106501920,82.1637324969662
2004,All immigrants,15862943.771601865,13.745626351146756
2005,All immigrants,16641765.500727901,14.189829934832071
2006,All immigrants,17690941.4652431,14.7287167582945
2007,All immigrants,17843789.648291796,14.793489481589539
2008,All immigrants,18332900.276010804,14.731696155919819
2009,All immigrants,17882693.794780035,14.950640201472279
2010,All immigrants,18204361.427833926,15.370948631022124
2011,All immigrants,18392195.59549385,15.43106009626979
2012,All immigrants,18824845.28692198,15.50206745954332
2013,All immigrants,19160140.972916044,15.588682599743606
2014,All immigrants,19797563.693997078,15.82975810027571
2015,All immigrants,20379631.298395872,16.0455039597932
2016,All immigrants,20783756.549273465,16.180454272976885
2017,All immigrants,21281261.464832135,16.323635387156255
2018,All immigrants,21842138.236728635,16.54169370495728
2019,All immigrants,21890263.60382111,16.456082345497258
2020,All immigrants,18530072.79119514,16.085264749467434
2021,All immigrants,19200862.217864607,16.468713766798583
2022,All immigrants,20554278.405403525,16.564702531619975
2023,All immigrants,21865775.40532706,17.233720430143237
2024,All immigrants,23119649.959632084,17.836267503033802
