year,drivers,total_crashes,drivers_index,crashes_index,drivers_yoy,crashes_yoy
2011,18392195.59549385,29867,101.03180860479253,98.58397148138368,1.031808604792528,-1.416028518616319
2012,18824845.28692198,31006,103.40843517938154,102.3435437021389,2.352354775599119,3.813573509224222
2013,19160140.972916044,30202,105.25027779123721,99.68972801689992,1.7811338201382254,-2.59304650712765
2014,19797563.693997078,30056,108.751761342901,99.2078162133615,3.326816446612102,-0.48341169458976374
2015,20379631.298395872,32538,111.94916877027075,107.40031687351465,2.9400971422321343,8.257918552036191
2016,20783756.549273465,34748,114.16910519858017,114.69500924214418,1.9829860754615458,6.792058516196442
2017,21281261.464832135,34560,116.9019937842682,114.07446527594402,2.3937198955309213,-0.5410383331414748
2018,21842138.236728635,33919,119.98299596124617,111.9586744124637,2.6355428827532723,-1.8547453703703698
2019,21890263.60382111,33487,120.24735770380579,110.5327435965144,0.22033267334400364,-1.2736224534921403
2020,18530072.79119514,35935,101.7891941151158,118.61301822022709,-15.350161484759028,7.310299519216423
2021,19200862.217864607,39785,105.4739672906464,131.32096646421968,3.6200042721267867,10.7137887853068
2022,20554278.405403525,39422,112.908538357059,130.12278848692898,7.048726105016745,-0.9124041724267951
2023,21865775.40532706,37769,120.11283939844735,124.6666226564563,6.380652115613827,-4.193090152706613
2024,23119649.959632084,36297,127.00060944891388,119.80789543174018,5.734416141489995,-3.8973761550477937
