year,immig_status,pop,pct
2004,Illegal immigrants,220906.433963336,4.474061214631855
2004,Legal immigrants,478837,9.697979417775764
2004,Native-born citizens,4237749,85.82795936759237
2005,Illegal immigrants,235757.1115182801,4.607915023414392
2005,Legal immigrants,512338,10.01373808858797
2005,Native-born citizens,4368256,85.37834688799765
2006,Illegal immigrants,236384.08615812648,4.629521890739004
2006,Legal immigrants,532054,10.4201415589692
2006,Native-born citizens,4337577,84.9503365502918
2007,Illegal immigrants,267756.1662669321,5.123123530522433
2007,Legal immigrants,556600,10.649728806790696
2007,Native-born citizens,4402068,84.22714766268686
2008,Illegal immigrants,223000.37610573255,4.310850894720013
2008,Legal immigrants,596640,11.533729775443328
2008,Native-born citizens,4353361,84.15541932983666
2009,Illegal immigrants,223805.76756542915,4.391164956426261
2009,Legal immigrants,611981,12.007329169535677
2009,Native-born citizens,4260942,83.60150587403807
2010,Illegal immigrants,219323.03652139212,4.349223516754157
2010,Legal immigrants,605171,12.000672554070308
2010,Native-born citizens,4218315,83.65010392917553
2011,Illegal immigrants,209908.58174698203,4.114093081596048
2011,Legal immigrants,642579,12.59419598892562
2011,Native-born citizens,4249696,83.29171092947833
2012,Illegal immigrants,206603.7210639374,3.89916209048887
2012,Legal immigrants,693685,13.0916821866133
2012,Native-born citizens,4398381,83.00915572289784
2013,Illegal immigrants,207018.74605085835,3.891278797698667
2013,Legal immigrants,709037,13.32758843107885
2013,Native-born citizens,4404014,82.78113277122249
2014,Illegal immigrants,210429.2694995954,3.8817861451345874
2014,Legal immigrants,748672,13.810743171618478
2014,Native-born citizens,4461838,82.30747068324695
2015,Illegal immigrants,193576.79075197247,3.4677547575053986
2015,Legal immigrants,813005,14.56425610567133
2015,Native-born citizens,4575612,81.96798913682328
2016,Illegal immigrants,201424.21963865025,3.543798866175185
2016,Legal immigrants,883033,15.53582458856804
2016,Native-born citizens,4599393,80.92037654525677
2017,Illegal immigrants,219637.15580256667,3.7422788083641843
2017,Legal immigrants,936220,15.95174665763803
2017,Native-born citizens,4713218,80.30597453399778
2018,Illegal immigrants,236345.99461847902,3.93892988336759
2018,Legal immigrants,962682,16.044007448068683
2018,Native-born citizens,4801231,80.01706266856372
2019,Illegal immigrants,240973.40503462078,3.974673239772797
2019,Legal immigrants,981539,16.189740094069094
2019,Native-born citizens,4840210,79.83558666615812
2020,Illegal immigrants,211203.91961613484,3.5696550223295613
2020,Legal immigrants,983216,16.617787864987406
2020,Native-born citizens,4722228,79.81255711268304
2021,Illegal immigrants,231998.93027372513,3.8060620828598366
2021,Legal immigrants,1051686,17.253451138554073
2021,Native-born citizens,4811826,78.94048677858609
2022,Illegal immigrants,269560.4207407527,4.410683901783858
2022,Legal immigrants,1070627,17.518140314288488
2022,Native-born citizens,4771346,78.07117578392766
2023,Illegal immigrants,276251.010428477,4.506678505391829
2023,Legal immigrants,1142308,18.635279929482756
2023,Native-born citizens,4711255,76.85804156512542
2024,Illegal immigrants,358073.6489568831,5.698020106043966
2024,Legal immigrants,1125982,17.917733108073957
2024,Native-born citizens,4800121,76.38424678588208
2004,All immigrants,699743.433963336,14.172040632407622
2005,All immigrants,748095.1115182801,14.621653112002363
2006,All immigrants,768438.0861581265,15.049663449708206
2007,All immigrants,824356.166266932,15.772852337313129
2008,All immigrants,819640.3761057325,15.84458067016334
2009,All immigrants,835786.7675654291,16.398494125961935
2010,All immigrants,824494.0365213921,16.349896070824464
2011,All immigrants,852487.5817469821,16.70828907052167
2012,All immigrants,900288.7210639374,16.99084427710217
2013,All immigrants,916055.7460508583,17.218867228777516
2014,All immigrants,959101.2694995954,17.692529316753067
2015,All immigrants,1006581.7907519725,18.03201086317673
2016,All immigrants,1084457.2196386503,19.079623454743228
2017,All immigrants,1155857.1558025668,19.69402546600222
2018,All immigrants,1199027.994618479,19.982937331436272
2019,All immigrants,1222512.4050346208,20.16441333384189
2020,All immigrants,1194419.9196161348,20.18744288731697
2021,All immigrants,1283684.9302737252,21.059513221413912
2022,All immigrants,1340187.4207407527,21.928824216072346
2023,All immigrants,1418559.010428477,23.141958434874585
2024,All immigrants,1484055.648956883,23.615753214117923
