year,immig_status,pop,total,pct
2004,Illegal immigrants,220906.433963336,8310745.874156121,2.658081925598128
2004,Legal immigrants,478837,16751520,2.8584689628165085
2004,Native-born citizens,4237749,146843328,2.8858982275313183
2005,Illegal immigrants,235757.1115182801,9028475.24903093,2.6112616473483166
2005,Legal immigrants,512338,17249325,2.9701915872070357
2005,Native-born citizens,4368256,148269259,2.9461643158275983
2006,Illegal immigrants,236384.08615812648,9562647.865072077,2.4719522196517145
2006,Legal immigrants,532054,17557160,3.0304103852787123
2006,Native-born citizens,4337577,148232459,2.926199180167415
2007,Illegal immigrants,267756.1662669321,9692969.836906962,2.7623749044118906
2007,Legal immigrants,556600,17785790,3.1294645894278523
2007,Native-born citizens,4402068,149141254,2.9516098878986226
2008,Illegal immigrants,223000.37610573255,8720753.263926718,2.5571228695137
2008,Legal immigrants,596640,18635116,3.201697268747884
2008,Native-born citizens,4353361,150422489,2.8940891943358285
2009,Illegal immigrants,223805.76756542915,8668967.709629817,2.58168878996766
2009,Legal immigrants,611981,18949046,3.229613775806972
2009,Native-born citizens,4260942,150024491,2.8401642769112945
2010,Illegal immigrants,219323.03652139212,8765564.265050184,2.5020983235029246
2010,Legal immigrants,605171,19526627,3.0992090953547686
2010,Native-born citizens,4218315,148696867,2.8368553319956638
2011,Illegal immigrants,209908.58174698203,8499601.62238313,2.4696284728710327
2011,Legal immigrants,642579,20050943,3.2047320667162635
2011,Native-born citizens,4249696,148987334,2.8523874385187673
2012,Illegal immigrants,206603.7210639374,8302718.148136554,2.4883865425482035
2012,Legal immigrants,693685,20396948,3.400925471791172
2012,Native-born citizens,4398381,150385356,2.9247402253714117
2013,Illegal immigrants,207018.74605085835,8321819.706821691,2.4876619939405527
2013,Legal immigrants,709037,20827409,3.404345686974314
2013,Native-born citizens,4404014,151347666,2.9098658184791564
2014,Illegal immigrants,210429.2694995954,8115532.60701088,2.592920017569875
2014,Legal immigrants,748672,21581400,3.469061321322991
2014,Native-born citizens,4461838,152249804,2.930603444323646
2015,Illegal immigrants,193576.79075197247,7882786.989373675,2.4556897327420115
2015,Legal immigrants,813005,22439863,3.6230390533132937
2015,Native-born citizens,4575612,153240992,2.985892965245226
2016,Illegal immigrants,201424.21963865025,7685017.315972467,2.620998904192604
2016,Legal immigrants,883033,23068629,3.82785210165719
2016,Native-born citizens,4599393,154486102,2.977221213077148
2017,Illegal immigrants,219637.15580256667,7565505.728128537,2.9031391118501984
2017,Legal immigrants,936220,23736411,3.94423571448944
2017,Native-born citizens,4713218,155971904,3.0218378304851625
2018,Illegal immigrants,236345.99461847902,7558663.94614866,3.126822363083142
2018,Legal immigrants,962682,24215406,3.975493947943718
2018,Native-born citizens,4801231,157001093,3.058087627453651
2019,Illegal immigrants,240973.40503462078,7499666.62423952,3.2131215573739706
2019,Legal immigrants,981539,24368404,4.027916641565857
2019,Native-born citizens,4840210,158014183,3.0631490845350258
2020,Illegal immigrants,211203.91961613484,6633205.47080013,3.184040062468597
2020,Legal immigrants,983216,24781261,3.9675785667242685
2020,Native-born citizens,4722228,160923139,2.934461774325692
2021,Illegal immigrants,231998.93027372513,7106942.85455375,3.2643984202725447
2021,Legal immigrants,1051686,25674085,4.096293986718514
2021,Native-born citizens,4811826,161932881,2.9714940969894807
2022,Illegal immigrants,269560.4207407527,7562147.821092753,3.564601315897055
2022,Legal immigrants,1070627,25858768,4.14028618842166
2022,Native-born citizens,4771346,164049916,2.9084720774864645
2023,Illegal immigrants,276251.010428477,8112650.199597068,3.405188238514186
2023,Legal immigrants,1142308,26505744,4.30966208682918
2023,Native-born citizens,4711255,164040824,2.87200154517634
2024,Illegal immigrants,358073.6489568831,9281499.692138437,3.8579287920483
2024,Legal immigrants,1125982,27006715,4.169266791610901
2024,Native-born citizens,4800121,165703001,2.8968220074662376
2004,All immigrants,699743.433963336,25062265.87415612,2.792019833629258
2005,All immigrants,748095.1115182801,26277800.249030933,2.846871140006737
2006,All immigrants,768438.0861581265,27119807.865072075,2.8334938432502947
2007,All immigrants,824356.166266932,27478759.836906962,2.9999758764940045
2008,All immigrants,819640.3761057325,27355869.26392672,2.9962139685561566
2009,All immigrants,835786.7675654291,27618013.70962982,3.026237789410641
2010,All immigrants,824494.0365213921,28292191.265050184,2.9142105989503304
2011,All immigrants,852487.5817469821,28550544.62238313,2.9858890365217294
2012,All immigrants,900288.7210639374,28699666.148136552,3.136930988733444
2013,All immigrants,916055.7460508583,29149228.70682169,3.1426414580790505
2014,All immigrants,959101.2694995954,29696932.60701088,3.2296307574647285
2015,All immigrants,1006581.7907519725,30322649.989373673,3.3195706546252417
2016,All immigrants,1084457.2196386503,30753646.315972466,3.526272002014336
2017,All immigrants,1155857.1558025668,31301916.728128538,3.6926082381526815
2018,All immigrants,1199027.994618479,31774069.94614866,3.7736053223607047
2019,All immigrants,1222512.4050346208,31868070.62423952,3.8361669881098868
2020,All immigrants,1194419.9196161348,31414466.47080013,3.8021333920356497
2021,All immigrants,1283684.9302737252,32781027.85455375,3.915938621477371
2022,All immigrants,1340187.4207407527,33420915.82109275,4.010026020576396
2023,All immigrants,1418559.010428477,34618394.19959707,4.097703094631084
2024,All immigrants,1484055.648956883,36288214.69213844,4.089635330774187
