year,drivers,total_crashes,drivers_index,crashes_index
2010,118433558.42783393,30296,100,100
2011,119189449.59549385,29867,100.63824069604436,98.58397148138368
2012,121434417.28692198,31006,102.5337910123815,102.3435437021389
2013,122910584.97291604,30202,103.78020098738325,99.68972801689992
2014,125065484.69399707,30056,105.59970193769381,99.2078162133615
2015,127011475.29839587,32538,107.2428093729775,107.40031687351465
2016,128449771.54927346,34748,108.45724240190148,114.69500924214418
2017,130370845.46483213,34560,110.07931129948447,114.07446527594402
2018,132042937.23672864,33919,111.49115081025572,111.9586744124637
2019,133022326.60382111,33487,112.31810339032975,110.5327435965144
2020,115199053.79119514,35935,97.26892894245874,118.61301822022709
2021,116589932.2178646,39785,98.44332448130172,131.32096646421968
2022,124084802.40540352,39422,104.77165767252794,130.12278848692898
2023,126877858.40532707,37769,107.1299892442551,124.6666226564563
2024,129621569.95963208,36297,109.44665657294712,119.80789543174018
