year,immig_status,tranwork_grp,pop,pct
2004,Illegal immigrants,Bicycle,45188.43043201677,0.6609789049011929
2004,Illegal immigrants,Other,157958.5546831151,2.3104868103638823
2004,Illegal immigrants,Private motorized vehicle,5307750.771601864,77.63737883704329
2004,Illegal immigrants,Public transport,837920.818299736,12.256411200360265
2004,Illegal immigrants,Taxicab or ride-hailing services,21333.46489054044,0.3120482416912337
2004,Illegal immigrants,Walked only,324900.4741452595,4.752374834649187
2004,Illegal immigrants,Worked at home,141539.40997744963,2.0703211709909413
2004,Legal immigrants,Bicycle,48381,0.3800513459336839
2004,Legal immigrants,Other,106471,0.8363706176578669
2004,Legal immigrants,Private motorized vehicle,10555193,82.9150969645067
2004,Legal immigrants,Public transport,1207657,9.486609790542463
2004,Legal immigrants,Taxicab or ride-hailing services,17935,0.14088631672186644
2004,Legal immigrants,Walked only,351845,2.763877675327856
2004,Legal immigrants,Worked at home,442640,3.4771072893095605
2004,Native-born citizens,Bicycle,401084,0.35890199063163114
2004,Native-born citizens,Other,800287,0.7161208060571257
2004,Native-born citizens,Private motorized vehicle,99540628,89.07193889041368
2004,Native-born citizens,Public transport,3970800,3.55319091362428
2004,Native-born citizens,Taxicab or ride-hailing services,118841,0.10634249052231871
2004,Native-born citizens,Walked only,2469013,2.209346871466764
2004,Native-born citizens,Worked at home,4452419,3.984158037284201
2005,Illegal immigrants,Bicycle,57780.6875616218,0.7824991062898702
2005,Illegal immigrants,Other,168687.71724370052,2.284465511845997
2005,Illegal immigrants,Private motorized vehicle,5708555.5007279,77.308522380627835
2005,Illegal immigrants,Public transport,946192.509611355,12.813879937988629
2005,Illegal immigrants,Taxicab or ride-hailing services,22887.05293976938,0.30994955627481646
2005,Illegal immigrants,Walked only,345565.7982408487,4.679849612371416
2005,Illegal immigrants,Worked at home,134452.59364501046,1.820833894601422
2005,Legal immigrants,Bicycle,45390,0.3440406087676919
2005,Legal immigrants,Other,132479,1.0041453141426537
2005,Legal immigrants,Private motorized vehicle,10933210,82.8699762984141
2005,Legal immigrants,Public transport,1249160,9.46820371994382
2005,Legal immigrants,Taxicab or ride-hailing services,24857,0.18840752174792944
2005,Legal immigrants,Walked only,387995,2.9408688257065565
2005,Legal immigrants,Worked at home,420119,3.18435771127724
2005,Native-born citizens,Bicycle,426481,0.3775350661604574
2005,Native-born citizens,Other,890302,0.788124733511663
2005,Native-born citizens,Private motorized vehicle,100637762,89.08787058488036
2005,Native-born citizens,Public transport,4071601,3.604315673884615
2005,Native-born citizens,Taxicab or ride-hailing services,128854,0.11406581633188718
2005,Native-born citizens,Walked only,2592889,2.2953109755457386
2005,Native-born citizens,Worked at home,4216717,3.7327771496852744
2006,Illegal immigrants,Bicycle,78206.32243628408,0.9720963362825137
2006,Illegal immigrants,Other,208520.07440443969,2.591882523757042
2006,Illegal immigrants,Private motorized vehicle,6180649.465243103,76.82482072858319
2006,Illegal immigrants,Public transport,1018782.2851826363,12.663356312431457
2006,Illegal immigrants,Taxicab or ride-hailing services,21687.83915753798,0.2695775524300288
2006,Illegal immigrants,Walked only,379892.3538588473,4.722021875773454
2006,Illegal immigrants,Worked at home,157382.2426585853,1.9562446707423207
2006,Legal immigrants,Bicycle,55099,0.3951176909161224
2006,Legal immigrants,Other,126383,0.9062988281285015
2006,Legal immigrants,Private motorized vehicle,11510292,82.540880901837
2006,Legal immigrants,Public transport,1333550,9.562953896099659
2006,Legal immigrants,Taxicab or ride-hailing services,30515,0.218824594607987
2006,Legal immigrants,Walked only,397303,2.8490797283807
2006,Legal immigrants,Worked at home,491817,3.5268443600300294
2006,Native-born citizens,Bicycle,478851,0.41485619590354944
2006,Native-born citizens,Other,913861,0.7917304089259782
2006,Native-born citizens,Private motorized vehicle,102420958,88.7331738195748
2006,Native-born citizens,Public transport,4316135,3.739316294851982
2006,Native-born citizens,Taxicab or ride-hailing services,130849,0.11336202363111603
2006,Native-born citizens,Walked only,2674396,2.316983259718929
2006,Native-born citizens,Worked at home,4490730,3.8905779973936494
2007,Illegal immigrants,Bicycle,83080.02948266923,1.0197105397364703
2007,Illegal immigrants,Other,234884.72974297096,2.882936320960543
2007,Illegal immigrants,Private motorized vehicle,6201128.648291797,76.11162731043555
2007,Illegal immigrants,Public transport,1039160.6801503354,12.75448630227149
2007,Illegal immigrants,Taxicab or ride-hailing services,27180.916555288848,0.3336140738480039
2007,Illegal immigrants,Walked only,377242.27454858914,4.6302092787725915
2007,Illegal immigrants,Worked at home,184735.7610249251,2.26741617397536
2007,Legal immigrants,Bicycle,56273,0.39785997107874116
2007,Legal immigrants,Other,134198,0.9488033763763245
2007,Legal immigrants,Private motorized vehicle,11642661,82.31565348816639
2007,Legal immigrants,Public transport,1372190,9.70162375765532
2007,Legal immigrants,Taxicab or ride-hailing services,25732,0.18192974918341243
2007,Legal immigrants,Walked only,414579,2.9311461793373987
2007,Legal immigrants,Worked at home,498288,3.5229834782024025
2007,Native-born citizens,Bicycle,515400,0.4437043899823085
2007,Native-born citizens,Other,900669,0.775379878193589
2007,Native-born citizens,Private motorized vehicle,102775417,88.47866454241827
2007,Native-born citizens,Public transport,4365565,3.7582855165951035
2007,Native-born citizens,Taxicab or ride-hailing services,128808,0.11088993997834923
2007,Native-born citizens,Walked only,2726452,2.347184170500669
2007,Native-born citizens,Worked at home,4746107,4.085891562331712
2008,Illegal immigrants,Bicycle,71300.20092358107,0.9421326866597891
2008,Illegal immigrants,Other,213983.2110731774,2.8274896134519327
2008,Illegal immigrants,Private motorized vehicle,5774814.276010804,76.30611440563254
2008,Illegal immigrants,Public transport,957689.2387321651,12.654527249354436
2008,Illegal immigrants,Taxicab or ride-hailing services,17119.440318166842,0.22620952104122583
2008,Illegal immigrants,Walked only,336119.2877891745,4.441347479264369
2008,Illegal immigrants,Worked at home,196931.80307393894,2.6021790445957134
2008,Legal immigrants,Bicycle,66955,0.4358031186593185
2008,Legal immigrants,Other,152362,0.9917083827222922
2008,Legal immigrants,Private motorized vehicle,12558086,81.73927329089577
2008,Legal immigrants,Public transport,1531560,9.96876445991884
2008,Legal immigrants,Taxicab or ride-hailing services,24565,0.1598910254628655
2008,Legal immigrants,Walked only,457495,2.977787286551339
2008,Legal immigrants,Worked at home,572566,3.72677243578958
2008,Native-born citizens,Bicycle,628302,0.5231915076670836
2008,Native-born citizens,Other,927835,0.7726147497800238
2008,Native-born citizens,Private motorized vehicle,106112378,88.36052571527621
2008,Native-born citizens,Public transport,4666599,3.8859099071588257
2008,Native-born citizens,Taxicab or ride-hailing services,122653,0.10213401833814122
2008,Native-born citizens,Walked only,2792318,2.325182896610126
2008,Native-born citizens,Worked at home,4840167,4.030441205169591
2009,Illegal immigrants,Bicycle,82773.2252724308,1.149816732540983
2009,Illegal immigrants,Other,188808.6788507961,2.622772973713154
2009,Illegal immigrants,Private motorized vehicle,5494902.794780035,76.33061483746083
2009,Illegal immigrants,Public transport,895332.2978113877,12.437210871264478
2009,Illegal immigrants,Taxicab or ride-hailing services,21226.412261256093,0.29485964705949885
2009,Illegal immigrants,Walked only,335376.12264264544,4.65876587797611
