year,immig_status,pop,pct
2004,Illegal immigrants,166786.99367447753,4.3463779300769785
2004,Legal immigrants,320084,8.341214160176136
2004,Native-born citizens,3350508,87.31240790974688
2005,Illegal immigrants,183335.73288197606,4.658745345055375
2005,Legal immigrants,338325,8.597178488279384
2005,Native-born citizens,3413642,86.74407616666522
2006,Illegal immigrants,180073.48866242016,4.565824404896221
2006,Legal immigrants,357746,9.070771215057166
2006,Native-born citizens,3406123,86.36340438004662
2007,Illegal immigrants,205013.34285510826,5.096269111812565
2007,Legal immigrants,369743,9.191157043571724
2007,Native-born citizens,3448056,85.7125738446157
2008,Illegal immigrants,177191.998506611,4.4253591164441195
2008,Legal immigrants,407672,10.18158278547604
2008,Native-born citizens,3419150,85.39305809807983
2009,Illegal immigrants,172598.4142290983,4.461674243247915
2009,Legal immigrants,414333,10.710520617958148
2009,Native-born citizens,3281536,84.82780513879395
2010,Illegal immigrants,167726.7083333249,4.45455225007408
2010,Legal immigrants,392411,10.421806523084994
2010,Native-born citizens,3205150,85.12364122684092
2011,Illegal immigrants,160238.31818538302,4.181882082915759
2011,Legal immigrants,417425,10.893911944592205
2011,Native-born citizens,3254064,84.92420597249205
2012,Illegal immigrants,166824.01318762245,4.1216556551963945
2012,Legal immigrants,459706,11.357776368182318
2012,Native-born citizens,3420970,84.52056797662128
2013,Illegal immigrants,161070.65551039376,3.9562660671660788
2013,Legal immigrants,470872,11.565700218177948
2013,Native-born citizens,3439337,84.47803371465598
2014,Illegal immigrants,164064.95271676552,3.96076136709837
2014,Legal immigrants,486289,11.739708283523473
2014,Native-born citizens,3491904,84.29953034937816
2015,Illegal immigrants,144986.6358029722,3.4506170835558683
2015,Legal immigrants,531379,12.646582528713626
2015,Native-born citizens,3525394,83.90280038773051
2016,Illegal immigrants,151789.9312587319,3.573110109345671
2016,Legal immigrants,558447,13.14575087218754
2016,Native-born citizens,3537881,83.2811390184668
2017,Illegal immigrants,161929.22548072156,3.7481541421517788
2017,Legal immigrants,583242,13.500224630155788
2017,Native-born citizens,3575068,82.75162122769244
2018,Illegal immigrants,167256.63045990115,3.777915812198512
2018,Legal immigrants,597079,13.486545729333407
2018,Native-born citizens,3662884,82.73553845846808
2019,Illegal immigrants,166533.4535267769,3.784295223110078
2019,Legal immigrants,591931,13.451001034759635
2019,Native-born citizens,3642182,82.76470374213028
2020,Illegal immigrants,148496.23911678634,3.4428376120517608
2020,Legal immigrants,597764,13.85896635881782
2020,Native-born citizens,3566933,82.69819602913043
2021,Illegal immigrants,165428.73455845602,3.612276289525345
2021,Legal immigrants,676154,14.764394280031517
2021,Native-born citizens,3738043,81.62332943044315
2022,Illegal immigrants,199363.31644479083,4.312575717543725
2022,Legal immigrants,676106,14.62535019020448
2022,Native-born citizens,3747367,81.06207409225179
2023,Illegal immigrants,203238.11218711137,4.399167502217838
2023,Legal immigrants,736285,15.937173444065621
2023,Native-born citizens,3680399,79.66365905371653
2024,Illegal immigrants,262035.91618652223,5.489948920887676
2024,Legal immigrants,743527,15.577731902962716
2024,Native-born citizens,3767449,78.9323191761496
2004,All immigrants,486870.9936744775,12.687592090253114
2005,All immigrants,521660.73288197606,13.255923833334759
2006,All immigrants,537819.4886624202,13.636595619953388
2007,All immigrants,574756.3428551083,14.287426155384289
2008,All immigrants,584863.998506611,14.606941901920159
2009,All immigrants,586931.4142290982,15.172194861206062
2010,All immigrants,560137.7083333249,14.876358773159074
2011,All immigrants,577663.318185383,15.075794027507964
2012,All immigrants,626530.0131876224,15.479432023378711
2013,All immigrants,631942.6555103938,15.521966285344027
2014,All immigrants,650353.9527167655,15.700469650621843
2015,All immigrants,676365.6358029721,16.097199612269495
2016,All immigrants,710236.9312587319,16.718860981533208
2017,All immigrants,745171.2254807216,17.248378772307564
2018,All immigrants,764335.6304599012,17.26446154153192
2019,All immigrants,758464.4535267769,17.235296257869713
2020,All immigrants,746260.2391167863,17.301803970869578
2021,All immigrants,841582.734558456,18.376670569556865
2022,All immigrants,875469.3164447908,18.937925907748205
2023,All immigrants,939523.1121871114,20.336340946283464
2024,All immigrants,1005562.9161865222,21.067680823850395
