year,immig_status,pop,total,pct
2004,Illegal immigrants,166786.99367447753,8310745.874156121,2.006883572184948
2004,Legal immigrants,320084,16751520,1.910775857951995
2004,Native-born citizens,3350508,146843328,2.281688957635174
2005,Illegal immigrants,183335.73288197606,9028475.24903093,2.030638926563534
2005,Legal immigrants,338325,17249325,1.9613810975212074
2005,Native-born citizens,3413642,148269259,2.3023262023586426
2006,Illegal immigrants,180073.48866242016,9562647.865072077,1.8830923317812966
2006,Legal immigrants,357746,17557160,2.0376074490407334
2006,Native-born citizens,3406123,148232459,2.2978253366221226
2007,Illegal immigrants,205013.34285510826,9692969.836906962,2.115072535091353
2007,Legal immigrants,369743,17785790,2.078867455423684
2007,Native-born citizens,3448056,149141254,2.311939793667016
2008,Illegal immigrants,177191.998506611,8720753.263926718,2.031842813849159
2008,Legal immigrants,407672,18635116,2.1876547481647015
2008,Native-born citizens,3419150,150422489,2.2730311290089076
2009,Illegal immigrants,172598.4142290983,8668967.709629817,1.9909915460565097
2009,Legal immigrants,414333,18949046,2.1865639040614497
2009,Native-born citizens,3281536,150024491,2.187333533429552
2010,Illegal immigrants,167726.7083333249,8765564.265050184,1.913473032216308
2010,Legal immigrants,392411,19526627,2.0096199922290725
2010,Native-born citizens,3205150,148696867,2.1554926237954968
2011,Illegal immigrants,160238.31818538302,8499601.62238313,1.8852450421135758
2011,Legal immigrants,417425,20050943,2.08182228636329
2011,Native-born citizens,3254064,148987334,2.1841212354333424
2012,Illegal immigrants,166824.01318762245,8302718.148136554,2.0092698585109035
2012,Legal immigrants,459706,20396948,2.2537979701669095
2012,Native-born citizens,3420970,150385356,2.2748026077751877
2013,Illegal immigrants,161070.65551039376,8321819.706821691,1.9355220514854272
2013,Legal immigrants,470872,20827409,2.260828507280958
2013,Native-born citizens,3439337,151347666,2.272474423226322
2014,Illegal immigrants,164064.95271676552,8115532.60701088,2.021616579730484
2014,Legal immigrants,486289,21581400,2.253278285931404
2014,Native-born citizens,3491904,152249804,2.2935359575241225
2015,Illegal immigrants,144986.6358029722,7882786.989373675,1.8392814114908878
2015,Legal immigrants,531379,22439863,2.368013565858223
2015,Native-born citizens,3525394,153240992,2.3005554545091957
2016,Illegal immigrants,151789.9312587319,7685017.315972467,1.9751410441620365
2016,Legal immigrants,558447,23068629,2.4208070622662494
2016,Native-born citizens,3537881,154486102,2.2900966198240926
2017,Illegal immigrants,161929.22548072156,7565505.728128537,2.140362208420106
2017,Legal immigrants,583242,23736411,2.457161699803732
2017,Native-born citizens,3575068,155971904,2.2921230736530602
2018,Illegal immigrants,167256.63045990115,7558663.94614866,2.2127803491663744
2018,Legal immigrants,597079,24215406,2.465698902591185
2018,Native-born citizens,3662884,157001093,2.333030891702136
2019,Illegal immigrants,166533.4535267769,7499666.62423952,2.220544750463007
2019,Legal immigrants,591931,24368404,2.429092196600155
2019,Native-born citizens,3642182,158014183,2.3049715733428817
2020,Illegal immigrants,148496.23911678634,6633205.47080013,2.2386799228589855
2020,Legal immigrants,597764,24781261,2.4121613504655794
2020,Native-born citizens,3566933,160923139,2.2165445082450197
2021,Illegal immigrants,165428.73455845602,7106942.85455375,2.327705990381759
2021,Legal immigrants,676154,25674085,2.633605053500446
2021,Native-born citizens,3738043,161932881,2.308390350938053
2022,Illegal immigrants,199363.31644479083,7562147.821092753,2.6363319147070343
2022,Legal immigrants,676106,25858768,2.6146102552140147
2022,Native-born citizens,3747367,164049916,2.2842846198104727
2023,Illegal immigrants,203238.11218711137,8112650.199597068,2.5051999924415034
2023,Legal immigrants,736285,26505744,2.777831854106793
2023,Native-born citizens,3680399,164040824,2.2435872426488177
2024,Illegal immigrants,262035.91618652223,9281499.692138437,2.8232066463189174
2024,Legal immigrants,743527,27006715,2.753118992813454
2024,Native-born citizens,3767449,165703001,2.2736154307790724
2004,All immigrants,486870.9936744775,25062265.87415612,1.9426455537547085
2005,All immigrants,521660.73288197606,26277800.249030933,1.9851765670576393
2006,All immigrants,537819.4886624202,27119807.865072075,1.9831242586164644
2007,All immigrants,574756.3428551083,27478759.836906962,2.0916385829143134
2008,All immigrants,584863.998506611,27355869.26392672,2.1379836000234578
2009,All immigrants,586931.4142290982,27618013.70962982,2.1251760550196543
2010,All immigrants,560137.7083333249,28292191.265050184,1.979831477476516
2011,All immigrants,577663.318185383,28550544.62238313,2.0233005213235233
2012,All immigrants,626530.0131876224,28699666.148136552,2.183056799175702
2013,All immigrants,631942.6555103938,29149228.70682169,2.167956695754706
2014,All immigrants,650353.9527167655,29696932.60701088,2.1899701269592717
2015,All immigrants,676365.6358029721,30322649.989373673,2.230562421292331
2016,All immigrants,710236.9312587319,30753646.315972466,2.3094397456533713
2017,All immigrants,745171.2254807216,31301916.728128538,2.380592958421283
2018,All immigrants,764335.6304599012,31774069.94614866,2.405532661554887
2019,All immigrants,758464.4535267769,31868070.62423952,2.380013721162878
2020,All immigrants,746260.2391167863,31414466.47080013,2.375530521298008
2021,All immigrants,841582.734558456,32781027.85455375,2.567285987164518
2022,All immigrants,875469.3164447908,33420915.82109275,2.619525213286528
2023,All immigrants,939523.1121871114,34618394.19959707,2.7139419199231565
2024,All immigrants,1005562.9161865222,36288214.69213844,2.7710454336690464
