year,immig_status,n_hh,households,avg_cars
2004,Illegal immigrants,9746,3694325,1.4190979407604907
2004,Legal immigrants,37256,10165988,1.6933368404526938
2004,Native-born citizens,436261,96033442,1.7880774178644976
2005,Illegal immigrants,27794,3917398,1.441882341288784
2005,Legal immigrants,97046,10500914,1.7144127644507896
2005,Native-born citizens,1034096,96639820,1.789337159361431
2006,Illegal immigrants,30317,4078496,1.451218047044793
2006,Legal immigrants,100316,10759438,1.7245532712768084
2006,Native-born citizens,1032588,96770034,1.7915577977372623
2007,Illegal immigrants,31151,4151586,1.4790386131950537
2007,Legal immigrants,103281,10972823,1.7392001128606558
2007,Native-born citizens,1039724,97243771,1.794095397637346
2008,Illegal immigrants,28182,3794686,1.484195003222928
2008,Legal immigrants,108590,11454314,1.71690360505221
2008,Native-born citizens,1048473,97843402,1.7892335959454886
2009,Illegal immigrants,27982,3709520,1.498889613750566
2009,Legal immigrants,111668,11659458,1.7177521459402316
2009,Native-born citizens,1052272,98240258,1.7810694878264672
2010,Illegal immigrants,28761,3756580,1.514371582662954
2010,Legal immigrants,116003,12036625,1.7143501604478
2010,Native-born citizens,1058934,98767312,1.768298280710525
2011,Illegal immigrants,28130,3751963,1.4740872977691943
2011,Legal immigrants,117011,12416243,1.6958825628654337
2011,Native-born citizens,1059600,98817776,1.7565178354145514
2012,Illegal immigrants,28146,3723034,1.507650749361945
2012,Legal immigrants,120341,12656376,1.7008326870187802
2012,Native-born citizens,1059164,99583694,1.7610437909644123
2013,Illegal immigrants,28269,3785062,1.5217719022832388
2013,Legal immigrants,121804,12927698,1.718059858762171
2013,Native-born citizens,1061069,99568914,1.7701769550283535
2014,Illegal immigrants,27725,3759883,1.5346879144909562
2014,Legal immigrants,124177,13334522,1.728029921132531
2014,Native-born citizens,1066211,100155900,1.7762806884067739
2015,Illegal immigrants,27088,3722378,1.5885992771287603
2015,Legal immigrants,128436,13893073,1.7490992093685824
2015,Native-born citizens,1071083,100583725,1.7885795042885915
2016,Illegal immigrants,26343,3664440,1.600999879927083
2016,Legal immigrants,130585,14142718,1.7730485045378124
2016,Native-born citizens,1075136,101045006,1.8038433388781232
2017,Illegal immigrants,26713,3640776,1.638975592016647
2017,Legal immigrants,133539,14516911,1.785858851101312
2017,Native-born citizens,1083486,101897380,1.8233255948288367
2018,Illegal immigrants,26061,3663709,1.6431247678240821
2018,Legal immigrants,134149,14860557,1.8011728631706065
2018,Native-born citizens,1097184,102988673,1.8318220587229044
2019,Illegal immigrants,24527,3613723,1.6478468327539217
2019,Legal immigrants,135176,15072966,1.808118720628707
2019,Native-born citizens,1116906,104107444,1.8371910177719857
2020,Illegal immigrants,18164,3155259,1.6915017119038405
2020,Legal immigrants,106235,15202033,1.8008734094972692
2020,Native-born citizens,882948,106022221,1.8568923301465265
2021,Illegal immigrants,25460,3543662,1.6912154714529772
2021,Legal immigrants,144041,16047572,1.8015530324462792
2021,Native-born citizens,1111417,107943694,1.841696653442303
2022,Illegal immigrants,26523,3753627,1.6956311855173676
2022,Legal immigrants,147142,16280038,1.7871775237871066
2022,Native-born citizens,1150140,109823301,1.8301525648004333
2023,Illegal immigrants,27789,4024399,1.725729730078951
2023,Legal immigrants,150904,16812316,1.7892009643406654
2023,Native-born citizens,1164245,110484995,1.8282470302867824
2024,Illegal immigrants,29843,4495923,1.7232472620193895
2024,Legal immigrants,150128,17043204,1.7968204804683439
2024,Native-born citizens,1168298,111184026,1.834129913590285
2004,All immigrants,NA,13860313,1.620241260063896
2005,All immigrants,NA,14418312,1.6403673328750272
2006,All immigrants,NA,14837934,1.649421745641947
2007,All immigrants,NA,15124409,1.667786886747112
2008,All immigrants,NA,15249000,1.6589944914420618
2009,All immigrants,NA,15368978,1.6649265813250562
2010,All immigrants,NA,15793205,1.666783151361614
2011,All immigrants,NA,16168206,1.6444131773184978
2012,All immigrants,NA,16379410,1.6569225020925662
2013,All immigrants,NA,16712760,1.673605077796845
2014,All immigrants,NA,17094405,1.685504701684557
2015,All immigrants,NA,17615451,1.715183448893815
2016,All immigrants,NA,17807158,1.7376435363801455
2017,All immigrants,NA,18157687,1.7564074653341033
2018,All immigrants,NA,18524266,1.7699142843230604
2019,All immigrants,NA,18686689,1.7771245617669347
2020,All immigrants,NA,18357292,1.7820745565304512
2021,All immigrants,NA,19591234,1.7815951766999465
2022,All immigrants,NA,20033665,1.7700248556617075
2023,All immigrants,NA,20836715,1.7769421427513885
2024,All immigrants,NA,21539127,1.7814633341453439
